series_name,date,split,review_count_prior_all,review_count_180d,review_available_prior,review_available_180d,review_appearance_score_prior_mean,review_interior_score_prior_mean,review_space_score_prior_mean,review_power_score_prior_mean,review_control_score_prior_mean,review_comfort_score_prior_mean,review_fuel_consumption_score_prior_mean,review_configuration_score_prior_mean,review_intelligence_score_prior_mean,review_value_score_prior_mean,review_appearance_score_180d_mean,review_interior_score_180d_mean,review_space_score_180d_mean,review_power_score_180d_mean,review_control_score_180d_mean,review_comfort_score_180d_mean,review_fuel_consumption_score_180d_mean,review_configuration_score_180d_mean,review_intelligence_score_180d_mean,review_value_score_180d_mean,review_appearance_positive_180d_rate,review_interior_positive_180d_rate,review_space_positive_180d_rate,review_power_positive_180d_rate,review_control_positive_180d_rate,review_comfort_positive_180d_rate,review_fuel_consumption_positive_180d_rate,review_configuration_positive_180d_rate,review_intelligence_positive_180d_rate,review_value_positive_180d_rate,review_appearance_negative_180d_rate,review_interior_negative_180d_rate,review_space_negative_180d_rate,review_power_negative_180d_rate,review_control_negative_180d_rate,review_comfort_negative_180d_rate,review_fuel_consumption_negative_180d_rate,review_configuration_negative_180d_rate,review_intelligence_negative_180d_rate,review_value_negative_180d_rate,review_appearance_uniform_mention_180d_count,review_interior_uniform_mention_180d_count,review_space_uniform_mention_180d_count,review_power_uniform_mention_180d_count,review_control_uniform_mention_180d_count,review_comfort_uniform_mention_180d_count,review_fuel_consumption_uniform_mention_180d_count,review_configuration_uniform_mention_180d_count,review_intelligence_uniform_mention_180d_count,review_value_uniform_mention_180d_count,review_appearance_uniform_mention_180d_rate,review_interior_uniform_mention_180d_rate,review_space_uniform_mention_180d_rate,review_power_uniform_mention_180d_rate,review_control_uniform_mention_180d_rate,review_comfort_uniform_mention_180d_rate,review_fuel_consumption_uniform_mention_180d_rate,review_configuration_uniform_mention_180d_rate,review_intelligence_uniform_mention_180d_rate,review_value_uniform_mention_180d_rate,review_overall_aspect_score_180d_mean,review_any_positive_180d_rate,review_any_negative_180d_rate,feature_protocol,information_cutoff_exclusive
QQ冰淇淋,2022-04-01,train,6,6,1,1,0.8333333333333334,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.0,0.3333333333333333,0.5,0.16666666666666666,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.0,0.3333333333333333,0.5,0.16666666666666666,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.5,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.5,0.16666666666666666,0.8333333333333334,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,5,5,6,5,4,4,6,5,1,6,0.8333333333333334,0.8333333333333334,1.0,0.8333333333333334,0.6666666666666666,0.6666666666666666,1.0,0.8333333333333334,0.16666666666666666,1.0,0.4166666666666667,1.0,0.5,fixed_origin,2022-04-01
RAV4荣放,2022-04-01,train,59,19,1,1,0.6101694915254238,-0.3898305084745763,0.7796610169491526,0.3389830508474576,0.5932203389830508,-0.03389830508474576,0.6610169491525424,0.288135593220339,-0.06779661016949153,0.4576271186440678,0.5263157894736842,-0.42105263157894735,0.7894736842105263,0.10526315789473684,0.5263157894736842,-0.15789473684210525,0.47368421052631576,0.05263157894736842,-0.05263157894736842,0.42105263157894735,0.5263157894736842,0.10526315789473684,0.8421052631578947,0.47368421052631576,0.5789473684210527,0.15789473684210525,0.7368421052631579,0.3157894736842105,0.3157894736842105,0.47368421052631576,0.0,0.5263157894736842,0.05263157894736842,0.3684210526315789,0.05263157894736842,0.3157894736842105,0.2631578947368421,0.2631578947368421,0.3684210526315789,0.05263157894736842,12,16,17,16,18,19,18,16,6,15,0.631578947368421,0.8421052631578947,0.8947368421052632,0.8421052631578947,0.9473684210526315,1.0,0.9473684210526315,0.8421052631578947,0.3157894736842105,0.7894736842105263,0.2263157894736842,1.0,0.8421052631578947,fixed_origin,2022-04-01
T-ROC探歌,2022-04-01,train,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,fixed_origin,2022-04-01
e爱丽舍,2022-04-01,train,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,fixed_origin,2022-04-01
五菱佳辰,2022-04-01,train,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,fixed_origin,2022-04-01
五菱宏光S,2022-04-01,train,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,fixed_origin,2022-04-01
五菱征程,2022-04-01,train,10,10,1,1,0.8,0.0,1.0,0.8,0.6,-0.2,0.4,-0.1,0.1,1.0,0.8,0.0,1.0,0.8,0.6,-0.2,0.4,-0.1,0.1,1.0,0.9,0.4,1.0,0.9,0.8,0.4,0.7,0.2,0.1,1.0,0.1,0.4,0.0,0.1,0.2,0.6,0.3,0.3,0.0,0.0,10,10,10,10,10,10,10,6,1,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.1,1.0,0.44000000000000006,1.0,1.0,fixed_origin,2022-04-01
五菱星驰,2022-04-01,train,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,fixed_origin,2022-04-01
亚洲狮,2022-04-01,train,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,fixed_origin,2022-04-01
亚洲龙,2022-04-01,train,49,20,1,1,0.7346938775510204,-0.32653061224489793,0.6938775510204082,0.7346938775510204,0.5102040816326531,0.3673469387755102,0.6122448979591837,-0.04081632653061224,-0.3673469387755102,0.4897959183673469,0.9,-0.2,0.7,0.7,0.5,0.1,0.6,0.0,-0.45,0.6,0.9,0.25,0.75,0.75,0.6,0.45,0.7,0.3,0.05,0.65,0.0,0.45,0.05,0.05,0.1,0.35,0.1,0.3,0.5,0.05,18,20,18,18,19,19,19,17,10,18,0.9,1.0,0.9,0.9,0.95,0.95,0.95,0.85,0.5,0.9,0.34500000000000003,1.0,0.85,fixed_origin,2022-04-01
享域,2022-04-01,train,5,3,1,1,1.0,0.2,1.0,0.2,0.8,0.8,1.0,0.4,0.2,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3,3,3,3,3,2,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.0,1.0,0.7333333333333334,1.0,0.6666666666666666,fixed_origin,2022-04-01
伊兰特,2022-04-01,train,71,27,1,1,0.8591549295774648,0.028169014084507043,0.7323943661971831,0.1267605633802817,0.23943661971830985,-0.23943661971830985,0.352112676056338,0.5211267605633803,0.16901408450704225,0.3380281690140845,0.8888888888888888,-0.037037037037037035,0.7037037037037037,0.14814814814814814,0.25925925925925924,-0.3333333333333333,0.4074074074074074,0.5185185185185185,0.2222222222222222,0.2962962962962963,0.9259259259259259,0.3333333333333333,0.7037037037037037,0.4444444444444444,0.4074074074074074,0.14814814814814814,0.5185185185185185,0.6666666666666666,0.3333333333333333,0.5185185185185185,0.037037037037037035,0.37037037037037035,0.0,0.2962962962962963,0.14814814814814814,0.48148148148148145,0.1111111111111111,0.14814814814814814,0.1111111111111111,0.2222222222222222,24,20,21,23,21,24,18,23,14,24,0.8888888888888888,0.7407407407407407,0.7777777777777778,0.8518518518518519,0.7777777777777778,0.8888888888888888,0.6666666666666666,0.8518518518518519,0.5185185185185185,0.8888888888888888,0.3074074074074074,1.0,0.8888888888888888,fixed_origin,2022-04-01
传祺GA8,2022-04-01,train,9,0,1,0,1.0,-0.2222222222222222,0.7777777777777778,0.7777777777777778,0.4444444444444444,0.3333333333333333,0.7777777777777778,0.2222222222222222,-0.1111111111111111,0.8888888888888888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,fixed_origin,2022-04-01
传祺M6,2022-04-01,train,11,0,1,0,1.0,0.8181818181818182,0.9090909090909091,-0.18181818181818182,0.36363636363636365,0.36363636363636365,0.2727272727272727,0.09090909090909091,-0.09090909090909091,0.2727272727272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,fixed_origin,2022-04-01
传祺M8,2022-04-01,train,34,13,1,1,0.7941176470588235,0.35294117647058826,0.8529411764705882,0.6176470588235294,-0.11764705882352941,0.2647058823529412,-0.11764705882352941,0.38235294117647056,-0.058823529411764705,0.6176470588235294,0.7692307692307693,0.3076923076923077,0.6923076923076923,0.6153846153846154,0.07692307692307693,0.07692307692307693,0.0,0.23076923076923078,-0.23076923076923078,0.7692307692307693,0.7692307692307693,0.38461538461538464,0.7692307692307693,0.6923076923076923,0.3076923076923077,0.46153846153846156,0.23076923076923078,0.46153846153846156,0.07692307692307693,0.7692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.23076923076923078,0.38461538461538464,0.23076923076923078,0.23076923076923078,0.3076923076923077,0.0,10,7,13,9,7,10,8,9,4,9,0.7692307692307693,0.5384615384615384,1.0,0.6923076923076923,0.5384615384615384,0.7692307692307693,0.6153846153846154,0.6923076923076923,0.3076923076923077,0.6923076923076923,0.33076923076923076,1.0,0.6923076923076923,fixed_origin,2022-04-01
冠道,2022-04-01,train,68,10,1,1,0.6029411764705882,0.38235294117647056,0.8235294117647058,0.4264705882352941,0.39705882352941174,0.5294117647058824,-0.08823529411764706,0.16176470588235295,-0.1323529411764706,0.3382352941176471,0.7,0.6,0.7,-0.1,0.1,0.4,0.1,0.2,-0.2,0.4,0.7,0.7,0.8,0.4,0.2,0.6,0.3,0.4,0.0,0.4,0.0,0.1,0.1,0.5,0.1,0.2,0.2,0.2,0.2,0.0,8,9,9,9,4,9,5,7,2,5,0.8,0.9,0.9,0.9,0.4,0.9,0.5,0.7,0.2,0.5,0.29,1.0,0.8,fixed_origin,2022-04-01
凌宝BOX,2022-04-01,train,3,2,1,1,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.5,-0.5,0.5,-0.5,-0.5,-0.5,0.0,0.0,-0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.0,1,1,1,1,1,2,1,1,0,0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.0,0.0,-0.15000000000000002,0.5,1.0,fixed_origin,2022-04-01
凌尚,2022-04-01,train,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,fixed_origin,2022-04-01
凌放HARRIER,2022-04-01,train,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,fixed_origin,2022-04-01
凌渡,2022-04-01,train,74,13,1,1,0.7702702702702703,0.0945945945945946,-0.24324324324324326,0.7432432432432432,0.6081081081081081,-0.16216216216216217,0.44594594594594594,0.1891891891891892,0.05405405405405406,0.32432432432432434,0.7692307692307693,-0.07692307692307693,-0.46153846153846156,0.5384615384615384,0.46153846153846156,-0.38461538461538464,0.38461538461538464,-0.07692307692307693,0.0,0.38461538461538464,0.7692307692307693,0.23076923076923078,0.15384615384615385,0.6923076923076923,0.6153846153846154,0.07692307692307693,0.5384615384615384,0.3076923076923077,0.15384615384615385,0.6153846153846154,0.0,0.3076923076923077,0.6153846153846154,0.15384615384615385,0.15384615384615385,0.46153846153846156,0.15384615384615385,0.38461538461538464,0.15384615384615385,0.23076923076923078,10,7,11,12,12,12,10,10,4,12,0.7692307692307693,0.5384615384615384,0.8461538461538461,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.7692307692307693,0.7692307692307693,0.3076923076923077,0.9230769230769231,0.15384615384615385,0.9230769230769231,1.0,fixed_origin,2022-04-01
凡尔赛C5 X,2022-04-01,train,4,4,1,1,1.0,0.0,0.5,0.25,1.0,1.0,0.75,0.25,-0.5,1.0,1.0,0.0,0.5,0.25,1.0,1.0,0.75,0.25,-0.5,1.0,1.0,0.25,0.5,0.5,1.0,1.0,0.75,0.5,0.25,1.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.75,0.0,4,2,4,4,4,3,3,4,4,4,1.0,0.5,1.0,1.0,1.0,0.75,0.75,1.0,1.0,1.0,0.525,1.0,0.75,fixed_origin,2022-04-01
凯美瑞,2022-04-01,train,44,27,1,1,0.6363636363636364,0.22727272727272727,0.13636363636363635,0.2727272727272727,0.29545454545454547,0.5681818181818182,0.45454545454545453,0.2727272727272727,-0.022727272727272728,0.4318181818181818,0.6296296296296297,0.07407407407407407,0.037037037037037035,0.2222222222222222,0.2962962962962963,0.5925925925925926,0.5185185185185185,0.4074074074074074,0.0,0.3333333333333333,0.7037037037037037,0.2962962962962963,0.3333333333333333,0.5555555555555556,0.48148148148148145,0.7037037037037037,0.6666666666666666,0.5555555555555556,0.37037037037037035,0.48148148148148145,0.07407407407407407,0.2222222222222222,0.2962962962962963,0.3333333333333333,0.18518518518518517,0.1111111111111111,0.14814814814814814,0.14814814814814814,0.37037037037037035,0.14814814814814814,22,19,24,27,19,24,26,24,18,22,0.8148148148148148,0.7037037037037037,0.8888888888888888,1.0,0.7037037037037037,0.8888888888888888,0.9629629629629629,0.8888888888888888,0.6666666666666666,0.8148148148148148,0.3111111111111111,1.0,0.8148148148148148,fixed_origin,2022-04-01
凯迪拉克XT5,2022-04-01,train,38,16,1,1,0.6578947368421053,0.4473684210526316,0.6052631578947368,0.6052631578947368,0.5263157894736842,0.7368421052631579,0.23684210526315788,0.6578947368421053,0.05263157894736842,0.6578947368421053,0.625,0.1875,0.625,0.3125,0.3125,0.75,0.1875,0.5625,0.0,0.8125,0.625,0.4375,0.6875,0.625,0.5625,0.75,0.3125,0.5625,0.125,0.8125,0.0,0.25,0.0625,0.3125,0.25,0.0,0.125,0.0,0.125,0.0,11,15,14,16,13,14,11,12,9,16,0.6875,0.9375,0.875,1.0,0.8125,0.875,0.6875,0.75,0.5625,1.0,0.4375,1.0,0.6875,fixed_origin,2022-04-01
凯迪拉克XT6,2022-04-01,train,63,23,1,1,0.6507936507936508,0.20634920634920634,0.7777777777777778,0.47619047619047616,0.2222222222222222,0.5873015873015873,0.38095238095238093,0.4126984126984127,0.0,0.4126984126984127,0.7391304347826086,0.08695652173913043,0.782608695652174,0.34782608695652173,0.43478260869565216,0.5652173913043478,0.30434782608695654,0.17391304347826086,-0.13043478260869565,0.34782608695652173,0.782608695652174,0.34782608695652173,0.8695652173913043,0.5217391304347826,0.6521739130434783,0.6521739130434783,0.5652173913043478,0.391304347826087,0.17391304347826086,0.5217391304347826,0.043478260869565216,0.2608695652173913,0.08695652173913043,0.17391304347826086,0.21739130434782608,0.08695652173913043,0.2608695652173913,0.21739130434782608,0.30434782608695654,0.17391304347826086,19,20,23,18,20,21,21,17,8,20,0.8260869565217391,0.8695652173913043,1.0,0.782608695652174,0.8695652173913043,0.9130434782608695,0.9130434782608695,0.7391304347826086,0.34782608695652173,0.8695652173913043,0.3652173913043478,1.0,0.782608695652174,fixed_origin,2022-04-01
别克GL6,2022-04-01,train,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,fixed_origin,2022-04-01
别克GL8,2022-04-01,train,62,13,1,1,0.532258064516129,0.3709677419354839,0.7580645161290323,0.5,-0.016129032258064516,0.5483870967741935,-0.04838709677419355,0.2903225806451613,0.08064516129032258,0.20967741935483872,0.38461538461538464,0.07692307692307693,0.7692307692307693,0.38461538461538464,0.07692307692307693,0.7692307692307693,0.0,0.38461538461538464,0.07692307692307693,0.15384615384615385,0.38461538461538464,0.23076923076923078,0.8461538461538461,0.5384615384615384,0.3076923076923077,0.7692307692307693,0.3076923076923077,0.5384615384615384,0.3076923076923077,0.23076923076923078,0.0,0.15384615384615385,0.07692307692307693,0.15384615384615385,0.23076923076923078,0.0,0.3076923076923077,0.15384615384615385,0.23076923076923078,0.07692307692307693,7,8,13,10,10,11,10,11,8,10,0.5384615384615384,0.6153846153846154,1.0,0.7692307692307693,0.7692307692307693,0.8461538461538461,0.7692307692307693,0.8461538461538461,0.6153846153846154,0.7692307692307693,0.3076923076923077,0.9230769230769231,0.6153846153846154,fixed_origin,2022-04-01
北京EU5,2022-04-01,train,10,2,1,1,1.0,0.3,1.0,0.7,0.3,0.2,0.8,0.5,0.2,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,2,2,2,2,2,2,2,1,0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,1.0,0.65,1.0,0.5,fixed_origin,2022-04-01
北京现代ix35,2022-04-01,train,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,fixed_origin,2022-04-01
