series_name,energy_type,vehicle_class,brand_name,sales_tier,total_sales,train_months,val_months,test_months
奔驰E级,燃油,中大型车,奔驰,Q4,601214,29,6,6
奥迪Q5 e-tron,纯电动,中大型SUV,奥迪,Q1,16284,36,6,6
起亚KX3傲跑,燃油,小型SUV,起亚,Q1,18979,35,6,6
凯迪拉克XT5,燃油,中型SUV,凯迪拉克,Q3,176257,31,6,6
瑞虎9,燃油,中型SUV,奇瑞,Q3,156609,24,6,6
QQ冰淇淋,纯电动,微型车,奇瑞新能源,Q3,239356,33,6,6
零跑T03,纯电动,微型车,零跑汽车,Q3,214145,34,6,6
宋PLUS新能源,插电混动,紧凑型SUV,比亚迪,Q4,1466206,32,6,6
RAV4荣放,插电混动,紧凑型SUV,丰田,Q4,818476,31,6,6
飞凡F7,纯电动,中大型车,飞凡汽车,Q1,19414,24,6,6
大通G50,燃油,紧凑型MPV,大通,Q2,54703,34,6,6
奥迪Q5L,插电混动,中型SUV,奥迪,Q4,605080,36,6,6
凌宝BOX,纯电动,微型车,凌宝汽车,Q2,56133,35,6,6
途昂,燃油,中大型SUV,大众,Q3,204472,35,6,6
瑞风E3,纯电动,紧凑型MPV,江淮瑞风,Q1,6051,33,6,6
魏牌 高山,插电混动,MPV,魏牌,Q2,100634,24,6,6
极氪009,纯电动,MPV,极氪,Q2,68449,25,6,6
欧拉闪电猫,纯电动,中型车,欧拉,Q1,20650,32,6,6
本田HR-V,纯电动,紧凑型SUV,本田,Q2,78138,25,6,6
海豹07DM-i,插电混动,中型车,比亚迪,Q3,126798,25,6,6
ID.4 CROZZ,纯电动,紧凑型SUV,大众,Q3,144607,35,6,6
极氪001,纯电动,中大型车,极氪,Q3,304753,35,6,6
大家9,插电混动,MPV,大通,Q1,10335,34,6,6
揽境,燃油,中大型SUV,大众,Q2,91553,35,6,6
皓影新能源,插电混动,紧凑型SUV,本田,Q1,15744,36,6,6
宏光MINIEV,纯电动,微型车,五菱,Q4,1418585,31,6,6
元PLUS,纯电动,紧凑型SUV,比亚迪,Q4,913027,33,6,6
风光380,燃油,微面,东风风光,Q1,12774,34,6,6
长安UNI-K 智电iDD,插电混动,中型SUV,长安,Q1,20350,34,6,6
蔚来ET7,纯电动,中大型车,蔚来,Q2,39027,35,6,6
Model 3,纯电动,中型车,特斯拉,Q4,354262,32,6,6
传祺M6,燃油,紧凑型MPV,广汽传祺,Q3,174089,33,6,6
迈腾PHEV,插电混动,中型车,大众,Q1,30993,35,6,6
艾力绅,插电混动,中型MPV,本田,Q2,97617,34,6,6
海豚,纯电动,小型车,比亚迪,Q4,894390,32,6,6
宝马iX3,纯电动,中型SUV,宝马,Q2,102550,33,6,6
传祺GA8,燃油,中大型车,广汽传祺,Q1,505,36,6,6
赛那SIENNA,油电混合,MPV,丰田,Q4,367966,29,6,6
红旗E-HS9,纯电动,大型SUV,红旗,Q1,806,25,6,6
星途ES,增程式,中大型车,星途,Q1,19225,25,6,6
小虎FEV,纯电动,微型车,小虎,Q1,5970,33,6,6
