brand_id,brand_name,series_name,车辆主表series_id,销量表原series_id,统一后series_id,销量数据来源,销量表车系名,核对状态,处理说明,pcauto_id语义,has_sales_data
10.0,日产,日产N7,25094,sg30655,25094,pcauto,日产N7,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg30655,True
10.0,日产,日产NX8,25874,sg31118,25874,pcauto,日产NX8,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg31118,True
10.0,日产,轩逸,1145,sg3996,1145,pcauto,轩逸,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg3996,True
10.0,日产,逍客,1150,sg3127,1150,pcauto,逍客,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg3127,True
251.0,星途,星纪元ET,8966,sg29591,8966,pcauto,星纪元 ET,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg29591,False
251.0,星途,星途ES,8965,sg29521,8965,pcauto,星途ES,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg29521,True
251.0,星途,星途ET5,25601,sg30934,25601,pcauto,星途ET5,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg30934,True
251.0,星途,星途EX7,25816,sg31081,25816,pcauto,星途EX7,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg31081,True
251.0,星途,星途凌云,4792,sg26991,4792,pcauto,星途凌云,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg26991,True
251.0,星途,星途揽月,3720,sg24773,3720,pcauto,星途揽月,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg24773,True
251.0,星途,星途揽月C-DM,24925,sg29656,24925,pcauto,星途揽月C-DM,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg29656,True
251.0,星途,星途瑶光,5953,sg27511,5953,pcauto,星途瑶光,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg27511,True
251.0,星途,星途瑶光C-DM,8967,sg29655,8967,pcauto,星途瑶光C-DM,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg29655,True
251.0,星途,星途追风,3083,sg22988,3083,pcauto,星途追风,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg22988,True
251.0,星途,星途追风C-DM,5567,sg28572,5567,dongchedi_fill、pcauto,星途追风C-DM,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg28572,True
419.0,智己汽车,智己L6,9660,sg30356,9660,pcauto,智己L6,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg30356,True
419.0,智己汽车,智己L7,4870,sg27191,4870,pcauto,智己L7,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg27191,True
419.0,智己汽车,智己LS6,9118,sg29991,9118,pcauto,智己LS6,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg29991,True
419.0,智己汽车,智己LS7,4869,sg27192,4869,pcauto,智己LS7,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg27192,True
419.0,智己汽车,智己LS8,25877,sg31117,25877,pcauto,智己LS8,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg31117,True
419.0,智己汽车,智己LS9,25607,sg30924,25607,pcauto,智己LS9,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg30924,True
867.0,曹操汽车,曹操60,8930,sg29541,8930,pcauto,曹操60,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg29541,True
9.0,本田,东风本田S7,10128,sg30424,10128,pcauto,东风本田S7,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg30424,True
9.0,本田,冠道,292,sg14252,292,pcauto,冠道,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg14252,True
9.0,本田,型格,5340,sg28005,5340,pcauto,型格,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg28005,True
9.0,本田,奥德赛,291,sg3565,291,pcauto,奥德赛,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg3565,True
9.0,本田,广汽本田P7,10127,sg30423,10127,pcauto,广汽本田P7,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg30423,True
9.0,本田,思域,276,sg1726,276,pcauto,思域,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg1726,True
9.0,本田,本田CR-V,280,sg631,280,pcauto,本田CR-V,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg631,True
9.0,本田,本田HR-V,6036,sg28953,6036,pcauto,本田HR-V,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg28953,True
9.0,本田,本田LIFE,4663,sg26573,4663,pcauto,本田LIFE,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg26573,True
9.0,本田,本田UR-V,281,sg20934,281,pcauto,本田UR-V,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg20934,True
9.0,本田,本田XR-V,279,sg11382,279,pcauto,本田XR-V,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg11382,True
9.0,本田,皓影,4079,sg25152,4079,pcauto,皓影,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg25152,True
9.0,本田,缤智,288,sg10791,288,pcauto,缤智,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg10791,True
9.0,本田,艾力绅,282,sg7989,282,pcauto,艾力绅,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg7989,True
9.0,本田,英仕派,2875,sg22980,2875,pcauto,英仕派,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg22980,True
9.0,本田,雅阁,289,sg90,289,pcauto,雅阁,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg90,True
62.0,林肯,冒险家,3981,sg25099,3981,pcauto,冒险家,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg25099,True
62.0,林肯,林肯Z,5440,sg28261,5440,pcauto,林肯Z,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg28261,True
62.0,林肯,航海家,4537,sg26401,4537,pcauto,航海家,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg26401,True
62.0,林肯,飞行家,4339,sg26461,4339,pcauto,飞行家,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg26461,True
61.0,标致,标致4008,340,sg20545,340,pcauto,标致4008,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg20545,True
61.0,标致,标致408,336,sg4447,336,pcauto,标致408,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg4447,True
61.0,标致,标致408X,5992,sg28881,5992,pcauto,标致408X,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg28881,True
61.0,标致,标致5008,341,sg21224,341,pcauto,标致5008,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg21224,True
238.0,欧拉,欧拉好猫,4635,sg26572,4635,pcauto,欧拉好猫,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg26572,True
238.0,欧拉,欧拉芭蕾猫,5297,sg27932,5297,pcauto,欧拉芭蕾猫,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg27932,True
238.0,欧拉,欧拉闪电猫,5053,sg27476,5053,pcauto,欧拉闪电猫,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg27476,True
16.0,比亚迪,元PLUS,5248,sg27808,5248,pcauto,元PLUS,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg27808,True
16.0,比亚迪,元UP,9689,sg30301,9689,pcauto,元UP,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg30301,True
16.0,比亚迪,夏,24597,sg30571,24597,pcauto,夏,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg30571,True
16.0,比亚迪,宋L EV,8979,sg29661,8979,pcauto,宋L EV,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg29661,True
16.0,比亚迪,比亚迪D1,4638,sg26994,4638,pcauto,比亚迪D1,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg26994,True
16.0,比亚迪,比亚迪M9,25579,sg30914,25579,pcauto,比亚迪M9,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg30914,True
16.0,比亚迪,比亚迪e2,3455,sg24626,3455,pcauto,比亚迪e2,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg24626,True
16.0,比亚迪,比亚迪e3,4076,sg25111,4076,pcauto,比亚迪e3,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg25111,True
16.0,比亚迪,比亚迪e7,25188,sg30728,25188,pcauto,比亚迪e7,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg30728,True
16.0,比亚迪,比亚迪e9,4797,sg27035,4797,pcauto,比亚迪e9,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg27035,True
16.0,比亚迪,海狮05EV,25139,sg30704,25139,pcauto,海狮05EV,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg30704,True
16.0,比亚迪,海狮06EV,25400,sg30836,25400,pcauto,海狮06EV,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg30836,True
16.0,比亚迪,海狮07EV,6068,sg30273,6068,pcauto,海狮07EV,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg30273,True
16.0,比亚迪,海豚,5008,sg27496,5008,pcauto,海豚,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg27496,True
16.0,比亚迪,海豹,5579,sg28011,5579,pcauto,海豹,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg28011,True
16.0,比亚迪,海豹06EV,25238,sg30794,25238,pcauto,海豹06EV,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg30794,True
16.0,比亚迪,海豹06GT,10205,sg30439,10205,pcauto,海豹06GT,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg30439,True
16.0,比亚迪,海豹07EV,24588,sg31123,24588,pcauto,海豹07EV,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg31123,True
16.0,比亚迪,海鸥,5952,sg28871,5952,pcauto,海鸥,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg28871,True
16.0,比亚迪,驱逐舰05,5290,sg27924,5290,pcauto,驱逐舰05,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg27924,True
512.0,江淮瑞风,瑞风E3,5474,sg28391,5474,pcauto,瑞风E3,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg28391,True
512.0,江淮瑞风,瑞风M3,768,sg10901,768,pcauto,瑞风M3,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg10901,True
512.0,江淮瑞风,瑞风RF8,8950,sg30267,8950,pcauto,瑞风RF8,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg30267,True
871.0,江淮钇为,爱跑,9792,sg30346,9792,pcauto,爱跑,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg30346,True
871.0,江淮钇为,钇为3,8897,sg29732,8897,pcauto,钇为3,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg29732,True
136.0,江铃集团新能源,易至EV2,5898,sg29235,5898,pcauto,易至EV2,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg29235,True
136.0,江铃集团新能源,易至EV3,3028,sg23634,3028,pcauto,易至EV3,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg23634,True
136.0,江铃集团新能源,羿,4858,sg27176,4858,pcauto,羿,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg27176,True
136.0,江铃集团新能源,羿驰05,25194,sg30741,25194,pcauto,羿驰05,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg30741,True
136.0,江铃集团新能源,羿驰05S,25612,sg30927,25612,pcauto,羿驰05S,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg30927,True
24.0,沃尔沃,沃尔沃EM90,9262,sg30196,9262,dongchedi_fill、pcauto,沃尔沃EM90,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg30196,True
24.0,沃尔沃,沃尔沃ES90,25226,sg31183,25226,pcauto,沃尔沃ES90,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg31183,True
24.0,沃尔沃,沃尔沃EX30,9028,sg29901,9028,dongchedi_fill、pcauto,沃尔沃EX30,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg29901,True
24.0,沃尔沃,沃尔沃EX90,6172,sg29691,6172,pcauto,沃尔沃EX90,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg29691,True
24.0,沃尔沃,沃尔沃S60,1279,sg9767,1279,pcauto,沃尔沃S60,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg9767,True
24.0,沃尔沃,沃尔沃S90,1281,sg20543,1281,pcauto,沃尔沃S90,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg20543,True
24.0,沃尔沃,沃尔沃XC40,3355,sg24444,3355,pcauto,沃尔沃XC40,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg24444,True
24.0,沃尔沃,沃尔沃XC60,1282,sg11052,1282,pcauto,沃尔沃XC60,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg11052,True
53.0,海马,海马7X,4201,sg25699,4201,dongchedi_fill、pcauto,海马7X,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg25699,True
515.0,深蓝汽车,深蓝G318,9211,sg30345,9211,pcauto,深蓝G318,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg30345,True
515.0,深蓝汽车,深蓝L06,25628,sg30944,25628,pcauto,深蓝L06,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg30944,True
515.0,深蓝汽车,深蓝L07,10214,sg30463,10214,pcauto,深蓝L07,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg30463,True
515.0,深蓝汽车,深蓝S05,10213,sg30474,10213,pcauto,深蓝S05,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg30474,True
515.0,深蓝汽车,深蓝S07,6027,sg28935,6027,pcauto,深蓝S07,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg28935,True
515.0,深蓝汽车,深蓝S09,25136,sg30715,25136,pcauto,深蓝S09,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg30715,True
515.0,深蓝汽车,深蓝SL03,5306,sg27941,5306,pcauto,深蓝SL03,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg27941,True
901.0,灵悉,灵悉L,9428,sg30202,9428,pcauto,灵悉L,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg30202,True
63.0,特斯拉,Model 3,3762,sg24824,3762,pcauto,Model 3,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg24824,True
63.0,特斯拉,Model Y,4363,sg26651,4363,pcauto,Model Y,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg26651,True
527.0,猛士,猛士917,8798,sg29119,8798,dongchedi_fill、pcauto,猛士917,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg29119,True
527.0,猛士,猛士M817,25412,sg30858,25412,dongchedi_fill、pcauto,猛士M817,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg30858,True
11.0,现代,EO 羿欧,25427,sg30870,25427,pcauto,EO 羿欧,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg30870,True
11.0,现代,伊兰特,1310,sg2463,1310,pcauto,伊兰特,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg2463,True
11.0,现代,库斯途,5034,sg27451,5034,pcauto,库斯途,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg27451,True
11.0,现代,索纳塔,1318,sg11808,1318,pcauto,索纳塔,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg11808,True
11.0,现代,胜达,1324,sg8000,1324,pcauto,胜达,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg8000,True
202.0,理想汽车,理想L6,5845,sg29159,5845,pcauto,理想L6,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg29159,True
202.0,理想汽车,理想L8,6095,sg28754,6095,pcauto,理想L8,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg28754,True
202.0,理想汽车,理想L9,5227,sg28684,5227,pcauto,理想L9,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg28684,True
202.0,理想汽车,理想MEGA,6067,sg28995,6067,pcauto,理想MEGA,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg28995,True
202.0,理想汽车,理想i6,25557,sg30915,25557,pcauto,理想i6,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg30915,True
202.0,理想汽车,理想i8,10178,sg30807,10178,pcauto,理想i8,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg30807,True
381.0,睿蓝汽车,枫叶60s,5151,sg28601,5151,pcauto,枫叶60s,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg28601,True
381.0,睿蓝汽车,枫叶80v,4688,sg26606,4688,pcauto,枫叶80v,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg26606,True
381.0,睿蓝汽车,睿蓝7,5997,sg28892,5997,pcauto,睿蓝7,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg28892,True
381.0,睿蓝汽车,睿蓝8,24939,sg30631,24939,pcauto,睿蓝8,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg30631,True
381.0,睿蓝汽车,睿蓝9,6003,sg28883,6003,dongchedi_fill、pcauto,睿蓝9,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg28883,True
168.0,知豆,知豆彩虹,9794,sg30391,9794,pcauto,知豆彩虹,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg30391,True
10410.0,示界,示界06,25239,sg30808,25239,pcauto,示界06,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg30808,True
7.0,福特,探险者,4284,sg25901,4284,pcauto,探险者,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg25901,True
7.0,福特,福特智趣烈马,25603,sg30925,25603,pcauto,福特智趣烈马,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg30925,True
7.0,福特,福特烈马,9350,sg30118,9350,pcauto,福特烈马,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg30118,True
7.0,福特,蒙迪欧,579,sg2143,579,pcauto,蒙迪欧,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg2143,True
7.0,福特,途睿欧,573,sg12622,573,pcauto,途睿欧,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg12622,True
7.0,福特,锐际,3334,sg24504,3334,pcauto,锐际,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg24504,True
7.0,福特,领睿,5388,sg28253,5388,pcauto,领睿,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg28253,True
7.0,福特,领裕,4759,sg26821,4759,pcauto,领裕,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg26821,True
57.0,福田,风景G5,3742,sg24935,3742,pcauto,风景G5,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg24935,True
59.0,红旗,红旗E-HS9,4146,sg25651,4146,pcauto,红旗E-HS9,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg25651,True
59.0,红旗,红旗E-QM5,5092,sg27171,5092,pcauto,红旗E-QM5,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg27171,True
59.0,红旗,红旗EH7,8947,sg29681,8947,pcauto,红旗EH7,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg29681,True
59.0,红旗,红旗H5,6132,sg29098,6132,pcauto,红旗H5,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg29098,True
59.0,红旗,红旗H5 PHEV,3801,sg27471,3801,pcauto,红旗H5 PHEV,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg27471,True
59.0,红旗,红旗H6,5417,sg29214,5417,pcauto,红旗H6,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg29214,True
59.0,红旗,红旗H9,4355,sg25866,4355,pcauto,红旗H9,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg25866,True
59.0,红旗,红旗HQ9,5905,sg28789,5905,pcauto,红旗HQ9,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg28789,True
59.0,红旗,红旗HS3,6359,sg29464,6359,pcauto,红旗HS3,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg29464,True
59.0,红旗,红旗HS3 PHEV,10120,sg30537,10120,pcauto,红旗HS3 PHEV,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg30537,True
59.0,红旗,红旗HS5,3159,sg24184,3159,pcauto,红旗HS5,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg24184,True
59.0,红旗,红旗HS6 PHEV,25598,sg31007,25598,pcauto,红旗HS6 PHEV,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg31007,True
59.0,红旗,红旗HS7,2151,sg20462,2151,pcauto,红旗HS7,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg20462,True
59.0,红旗,红旗HS7 PHEV,9825,sg30373,9825,pcauto,红旗HS7 PHEV,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg30373,True
59.0,红旗,红旗天工05,10154,sg30453,10154,pcauto,红旗天工05,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg30453,True
59.0,红旗,红旗天工06,10162,sg30459,10162,pcauto,红旗天工06,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg30459,True
59.0,红旗,红旗天工08,8835,sg30355,8835,pcauto,红旗天工08,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg30355,True
10429.0,纵横,纵横G700,25211,sg30751,25211,pcauto,纵横G700,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg30751,True
159.0,腾势,腾势N7,6360,sg29123,6360,pcauto,腾势N7,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg29123,True
29.0,英菲尼迪,英菲尼迪QX50,1423,sg11618,1423,pcauto,英菲尼迪QX50,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg11618,True
