series_id,series_name,brand,category,in_model_cohort,row_months,raw_positive_months,repaired_positive_months,raw_first_positive_date,raw_last_positive_date,repaired_first_positive_date,repaired_last_positive_date,prelaunch_zero_months,internal_zero_months,longest_internal_zero_run,trailing_zero_months,raw_train_positive_months,raw_test_sales,repaired_test_sales,test_sales_delta,reference_avg_12_before_raw_cutoff,audit_status,current_modeling_action,evidence_url,status_note,flag_never_positive,flag_no_positive_in_training,flag_all_zero_raw_test,flag_all_zero_repaired_test,flag_internal_gap_ge3,flag_recent_trailing_cutoff,flag_high_volume_cutoff,verification_priority,risk_score,verification_reason
28601,枫叶60s,睿蓝汽车,轿车,True,54,48,48,2022-01-01,2026-06-01,2022-01-01,2026-06-01,0,6,4,0,37,1370,1370,0,178.83333333333334,unreviewed,not_reviewed,,,False,False,False,False,True,False,False,medium,38,affects 371-series model cohort; internal zero run=4 months
24136,SWM斯威X2,SWM斯威汽车,MPV,False,54,10,10,2022-01-01,2023-12-01,2022-01-01,2023-12-01,0,14,11,30,10,0,0,0,5.916666666666667,unreviewed,not_reviewed,,,False,False,True,True,True,False,False,medium,37,entire repaired test window is zero; internal zero run=11 months
30355,红旗天工08,红旗,SUV,True,54,23,23,2024-05-01,2026-06-01,2024-05-01,2026-06-01,28,3,3,0,11,460,460,0,132.25,unreviewed,not_reviewed,,,False,False,False,False,True,False,False,medium,36,affects 371-series model cohort; internal zero run=3 months
26763,荣威i6 MAX新能源,荣威,轿车,True,54,50,50,2022-02-01,2026-06-01,2022-02-01,2026-06-01,1,3,3,0,41,31,31,0,290.8333333333333,unreviewed,not_reviewed,,,False,False,False,False,True,False,False,medium,36,affects 371-series model cohort; internal zero run=3 months
28426,合创V09,合创汽车,MPV,False,54,23,23,2023-10-01,2025-12-01,2023-10-01,2025-12-01,21,4,2,6,17,0,0,0,14.583333333333334,unreviewed,not_reviewed,,,False,False,True,True,False,True,False,medium,35,entire repaired test window is zero; positive in 2025 then at least 6 trailing zeros
22393,奕泽IZOA,丰田,SUV,False,54,45,45,2022-01-01,2025-12-01,2022-01-01,2025-12-01,0,3,2,6,42,0,0,0,13.0,unreviewed,not_reviewed,,,False,False,True,True,False,True,False,medium,35,entire repaired test window is zero; positive in 2025 then at least 6 trailing zeros
30999,星海X5,东风风行,SUV,False,54,3,3,2025-10-01,2025-12-01,2025-10-01,2025-12-01,45,0,0,6,0,0,0,0,473.25,unreviewed,not_reviewed,,,False,True,True,True,False,True,False,medium,35,entire repaired test window is zero; positive in 2025 then at least 6 trailing zeros
22333,零跑S01,零跑汽车,轿车,False,54,4,4,2022-01-01,2022-12-01,2022-01-01,2022-12-01,0,8,8,42,4,0,0,0,5.25,unreviewed,not_reviewed,,,False,False,True,True,True,False,False,medium,31,entire repaired test window is zero; internal zero run=8 months
27044,MG领航新能源,MG名爵,SUV,False,54,7,7,2023-01-01,2023-12-01,2023-01-01,2023-12-01,12,5,5,30,7,0,0,0,11.5,unreviewed,not_reviewed,,,False,False,True,True,True,False,False,medium,25,entire repaired test window is zero; internal zero run=5 months
20582,SWM斯威X7,SWM斯威汽车,SUV,False,54,13,13,2022-01-01,2023-12-01,2022-01-01,2023-12-01,0,11,5,30,13,0,0,0,99.83333333333333,unreviewed,not_reviewed,,,False,False,True,True,True,False,False,medium,25,entire repaired test window is zero; internal zero run=5 months
22734,逸动DT,长安,轿车,False,54,16,16,2022-04-01,2023-12-01,2022-04-01,2023-12-01,3,5,5,30,16,0,0,0,40.416666666666664,unreviewed,not_reviewed,,,False,False,True,True,True,False,False,medium,25,entire repaired test window is zero; internal zero run=5 months
26402,锐际新能源,福特,SUV,False,54,15,15,2022-01-01,2023-12-01,2022-01-01,2023-12-01,0,9,5,30,15,0,0,0,0.4166666666666667,unreviewed,not_reviewed,,,False,False,True,True,True,False,False,medium,25,entire repaired test window is zero; internal zero run=5 months
25100,冒险家新能源,林肯,SUV,False,54,14,14,2022-05-01,2023-12-01,2022-05-01,2023-12-01,4,6,4,30,14,0,0,0,1.0833333333333333,unreviewed,not_reviewed,,,False,False,True,True,True,False,False,medium,23,entire repaired test window is zero; internal zero run=4 months
3188,凯越,别克,轿车,False,54,14,14,2022-07-01,2023-12-01,2022-07-01,2023-12-01,6,4,4,30,14,0,0,0,27.0,unreviewed,not_reviewed,,,False,False,True,True,True,False,False,medium,23,entire repaired test window is zero; internal zero run=4 months
23803,富康ES500,东风富康,轿车,False,54,4,4,2022-03-01,2022-12-01,2022-03-01,2022-12-01,2,6,4,42,4,0,0,0,0.8333333333333334,unreviewed,not_reviewed,,,False,False,True,True,True,False,False,medium,23,entire repaired test window is zero; internal zero run=4 months
13509,自由侠,Jeep,SUV,False,54,6,6,2022-03-01,2022-12-01,2022-03-01,2022-12-01,2,4,4,42,6,0,0,0,2.75,unreviewed,not_reviewed,,,False,False,True,True,True,False,False,medium,23,entire repaired test window is zero; internal zero run=4 months
25479,锐程CC,长安,轿车,False,54,18,18,2022-01-01,2023-12-01,2022-01-01,2023-12-01,0,6,4,30,18,0,0,0,69.08333333333333,unreviewed,not_reviewed,,,False,False,True,True,True,False,False,medium,23,entire repaired test window is zero; internal zero run=4 months
13351,雷凌双擎E+,丰田,轿车,False,54,19,19,2022-01-01,2023-12-01,2022-01-01,2023-12-01,0,5,4,30,19,0,0,0,1.8333333333333333,unreviewed,not_reviewed,,,False,False,True,True,True,False,False,medium,23,entire repaired test window is zero; internal zero run=4 months
28742,ARIYA艾睿雅,日产,SUV,False,54,37,37,2022-10-01,2026-06-01,2022-10-01,2026-06-01,9,8,5,0,30,7,7,0,1.5833333333333333,unreviewed,not_reviewed,,,False,False,False,False,True,False,False,medium,10,internal zero run=5 months
