series_name,series_id,source_series_id,brand,date,raw_sales,source_sales,source_observation_count,source_value_count,source_identity_match,source_urls,comparison_status,sales_delta
哪吒AYA,30064,sg30064,哪吒汽车,2023-03-01,0,,1,0,True,https://price.pcauto.com.cn/salescar/sg30064/y2023-m6/,source_missing,
哪吒AYA,30064,sg30064,哪吒汽车,2023-04-01,0,,1,0,True,https://price.pcauto.com.cn/salescar/sg30064/y2023-m6/,source_missing,
哪吒AYA,30064,sg30064,哪吒汽车,2023-05-01,0,,1,0,True,https://price.pcauto.com.cn/salescar/sg30064/y2023-m6/,source_missing,
哪吒AYA,30064,sg30064,哪吒汽车,2023-06-01,0,,1,0,True,https://price.pcauto.com.cn/salescar/sg30064/y2023-m6/,source_missing,
哪吒AYA,30064,sg30064,哪吒汽车,2023-07-01,0,,1,0,True,https://price.pcauto.com.cn/salescar/sg30064/y2023-m12/,source_missing,
哪吒AYA,30064,sg30064,哪吒汽车,2023-08-01,5609,5609,1,1,True,https://price.pcauto.com.cn/salescar/sg30064/y2023-m12/,exact_match,0.0
哪吒AYA,30064,sg30064,哪吒汽车,2023-09-01,5225,5225,1,1,True,https://price.pcauto.com.cn/salescar/sg30064/y2023-m12/,exact_match,0.0
哪吒AYA,30064,sg30064,哪吒汽车,2023-10-01,3767,3767,1,1,True,https://price.pcauto.com.cn/salescar/sg30064/y2023-m12/,exact_match,0.0
哪吒AYA,30064,sg30064,哪吒汽车,2023-11-01,126,126,1,1,True,https://price.pcauto.com.cn/salescar/sg30064/y2023-m12/,exact_match,0.0
哪吒AYA,30064,sg30064,哪吒汽车,2023-12-01,8,8,1,1,True,https://price.pcauto.com.cn/salescar/sg30064/y2023-m12/,exact_match,0.0
哪吒AYA,30064,sg30064,哪吒汽车,2024-01-01,553,553,1,1,True,https://price.pcauto.com.cn/salescar/sg30064/y2024-m6/,exact_match,0.0
哪吒AYA,30064,sg30064,哪吒汽车,2024-02-01,536,536,1,1,True,https://price.pcauto.com.cn/salescar/sg30064/y2024-m6/,exact_match,0.0
哪吒AYA,30064,sg30064,哪吒汽车,2024-03-01,1564,1564,1,1,True,https://price.pcauto.com.cn/salescar/sg30064/y2024-m6/,exact_match,0.0
哪吒AYA,30064,sg30064,哪吒汽车,2024-04-01,461,461,1,1,True,https://price.pcauto.com.cn/salescar/sg30064/y2024-m6/,exact_match,0.0
哪吒AYA,30064,sg30064,哪吒汽车,2024-05-01,462,462,1,1,True,https://price.pcauto.com.cn/salescar/sg30064/y2024-m6/,exact_match,0.0
哪吒AYA,30064,sg30064,哪吒汽车,2024-06-01,337,337,1,1,True,https://price.pcauto.com.cn/salescar/sg30064/y2024-m6/,exact_match,0.0
哪吒AYA,30064,sg30064,哪吒汽车,2024-07-01,24,24,1,1,True,https://price.pcauto.com.cn/salescar/sg30064/y2024-m12/,exact_match,0.0
哪吒AYA,30064,sg30064,哪吒汽车,2024-08-01,125,125,1,1,True,https://price.pcauto.com.cn/salescar/sg30064/y2024-m12/,exact_match,0.0
哪吒AYA,30064,sg30064,哪吒汽车,2024-09-01,1334,1334,1,1,True,https://price.pcauto.com.cn/salescar/sg30064/y2024-m12/,exact_match,0.0
