series_name,source_series_id,anchor_month,source_url,http_status,fetched_at,cache_path,content_sha256,error,fetch_status,source_series_name,identity_match,parsed_months,parse_error
电动MINI COOPER,sg30347,2022-06-01,https://price.pcauto.com.cn/salescar/sg30347/y2022-m6/,200,2026-08-28T23:32:44+08:00,data/raw/pcauto_sales_recrawl/sg30347/y2022-m6.html,a9ff7ea5842c5517ebaf0a1e477d60aeac7205ad97c31ba55f4324570998947f,,cached,电动MINI COOPER,True,6,
电动MINI COOPER,sg30347,2022-12-01,https://price.pcauto.com.cn/salescar/sg30347/y2022-m12/,200,2026-08-28T23:32:46+08:00,data/raw/pcauto_sales_recrawl/sg30347/y2022-m12.html,50c2f637c8a60297bfb26ededc2551c843028e186b6f9cab4a50afffd1b7b64d,,cached,电动MINI COOPER,True,6,
电动MINI COOPER,sg30347,2023-06-01,https://price.pcauto.com.cn/salescar/sg30347/y2023-m6/,200,2026-08-28T23:32:47+08:00,data/raw/pcauto_sales_recrawl/sg30347/y2023-m6.html,67fa9c037403e2bccd1029dbd2a32cbca2d43767cb23aebfc16e4c32e8ded1a3,,cached,电动MINI COOPER,True,6,
电动MINI COOPER,sg30347,2023-12-01,https://price.pcauto.com.cn/salescar/sg30347/y2023-m12/,200,2026-08-28T23:32:49+08:00,data/raw/pcauto_sales_recrawl/sg30347/y2023-m12.html,9f3e89e3a1813d4044cad38f16a3f5d99b79cea66212874a11c0c71c5427e85e,,cached,电动MINI COOPER,True,6,
电动MINI COOPER,sg30347,2024-06-01,https://price.pcauto.com.cn/salescar/sg30347/y2024-m6/,200,2026-08-28T23:32:51+08:00,data/raw/pcauto_sales_recrawl/sg30347/y2024-m6.html,d145cc37f5d12246e51297bf863e7c3b7963a9bb5451b2e92be808ac738b3485,,cached,电动MINI COOPER,True,6,
电动MINI COOPER,sg30347,2024-12-01,https://price.pcauto.com.cn/salescar/sg30347/y2024-m12/,200,2026-08-28T23:32:53+08:00,data/raw/pcauto_sales_recrawl/sg30347/y2024-m12.html,c0169e3e1bc823ed380172e31df2bf8ae80090a940313b3ead95e2fed89f458f,,cached,电动MINI COOPER,True,6,
电动MINI COOPER,sg30347,2025-06-01,https://price.pcauto.com.cn/salescar/sg30347/y2025-m6/,200,2026-08-28T23:32:55+08:00,data/raw/pcauto_sales_recrawl/sg30347/y2025-m6.html,10967f0882350633bc7e128c45a51b3676cd8a502b213b7eb4109a75378e7008,,cached,电动MINI COOPER,True,6,
电动MINI COOPER,sg30347,2025-12-01,https://price.pcauto.com.cn/salescar/sg30347/y2025-m12/,200,2026-08-28T23:32:57+08:00,data/raw/pcauto_sales_recrawl/sg30347/y2025-m12.html,30efd2f7030e327b7586bacfcc317ddaf25ace24fb1e4ee260ec8b6ee7b87689,,cached,电动MINI COOPER,True,6,
电动MINI COOPER,sg30347,2026-06-01,https://price.pcauto.com.cn/salescar/sg30347/y2026-m6/,200,2026-08-28T23:32:58+08:00,data/raw/pcauto_sales_recrawl/sg30347/y2026-m6.html,282dc0aa83b3098fe7291461756c90a066c5b12c24d23e657e5a6c8792477fb4,,cached,电动MINI COOPER,True,6,
海马8S,sg22904,2022-06-01,https://price.pcauto.com.cn/salescar/sg22904/y2022-m6/,200,2026-08-28T23:32:59+08:00,data/raw/pcauto_sales_recrawl/sg22904/y2022-m6.html,755c3ea360389d640078d403cf0628a69e05558ffa13e99792ee05a635e7402b,,cached,海马8S,True,6,
海马8S,sg22904,2022-12-01,https://price.pcauto.com.cn/salescar/sg22904/y2022-m12/,200,2026-08-28T23:33:02+08:00,data/raw/pcauto_sales_recrawl/sg22904/y2022-m12.html,1d52685c0a212bad6b086125f36ae4907e084f782562541844488cc371d99688,,cached,海马8S,True,6,
海马8S,sg22904,2023-06-01,https://price.pcauto.com.cn/salescar/sg22904/y2023-m6/,200,2026-08-28T23:33:04+08:00,data/raw/pcauto_sales_recrawl/sg22904/y2023-m6.html,52d8d9ac542fe86945d7f18c3af8c3a7c8488525a88ed06e5e0f1c7d5b400766,,cached,海马8S,True,6,
海马8S,sg22904,2023-12-01,https://price.pcauto.com.cn/salescar/sg22904/y2023-m12/,200,2026-08-28T23:33:05+08:00,data/raw/pcauto_sales_recrawl/sg22904/y2023-m12.html,a933096d900342ddcfc188be152515a50540bc4557f001506e686138e5603d24,,cached,海马8S,True,6,
海马8S,sg22904,2024-06-01,https://price.pcauto.com.cn/salescar/sg22904/y2024-m6/,200,2026-08-28T23:33:07+08:00,data/raw/pcauto_sales_recrawl/sg22904/y2024-m6.html,e20c092935dbc4aabac9e67e07daa5ff1ffe52cd02dcfe72caea790f2d8d79db,,cached,海马8S,True,6,
海马8S,sg22904,2024-12-01,https://price.pcauto.com.cn/salescar/sg22904/y2024-m12/,200,2026-08-28T23:33:09+08:00,data/raw/pcauto_sales_recrawl/sg22904/y2024-m12.html,7c691c5221a3e1f7bc5fc82ec62a806941e5a9a0a5aaa3970728a087a26f1d85,,cached,海马8S,True,6,
海马8S,sg22904,2025-06-01,https://price.pcauto.com.cn/salescar/sg22904/y2025-m6/,200,2026-08-28T23:33:14+08:00,data/raw/pcauto_sales_recrawl/sg22904/y2025-m6.html,b010a099b122d705270e0489900d79f12561d1442b3f3e762e3a2f121aa04acb,,cached,海马8S,True,6,
海马8S,sg22904,2025-12-01,https://price.pcauto.com.cn/salescar/sg22904/y2025-m12/,200,2026-08-28T23:33:15+08:00,data/raw/pcauto_sales_recrawl/sg22904/y2025-m12.html,ce22a89378d48d00c2822292fd1685f3d4f4d90399274ad857f8a41311174b98,,cached,海马8S,True,6,
海马8S,sg22904,2026-06-01,https://price.pcauto.com.cn/salescar/sg22904/y2026-m6/,200,2026-08-28T23:33:17+08:00,data/raw/pcauto_sales_recrawl/sg22904/y2026-m6.html,76497140bd2f973a771852ce3678cfd27c2aeee5f57ea3c44efb18941fede16e,,cached,海马8S,True,6,
奔奔E-Star,sg26061,2022-06-01,https://price.pcauto.com.cn/salescar/sg26061/y2022-m6/,200,2026-08-28T23:33:19+08:00,data/raw/pcauto_sales_recrawl/sg26061/y2022-m6.html,4eaee9e1ddf351d42c40e4381c134babdf57988318c5efb2bd74de766a57a65c,,cached,奔奔E-Star,True,6,
奔奔E-Star,sg26061,2022-12-01,https://price.pcauto.com.cn/salescar/sg26061/y2022-m12/,200,2026-08-28T23:33:21+08:00,data/raw/pcauto_sales_recrawl/sg26061/y2022-m12.html,3ad50d30a8717558b7cde5e02453a4dcb7cc7d0479a740ed6b70eb48d12f4a87,,cached,奔奔E-Star,True,6,
奔奔E-Star,sg26061,2023-06-01,https://price.pcauto.com.cn/salescar/sg26061/y2023-m6/,200,2026-08-28T23:33:23+08:00,data/raw/pcauto_sales_recrawl/sg26061/y2023-m6.html,3c9a230aa9287873abe6d5398ed390db4ebda6735252ff36af38d1f84e44f989,,cached,奔奔E-Star,True,6,
奔奔E-Star,sg26061,2023-12-01,https://price.pcauto.com.cn/salescar/sg26061/y2023-m12/,200,2026-08-28T23:33:24+08:00,data/raw/pcauto_sales_recrawl/sg26061/y2023-m12.html,12a55dbd53d8a72ae88393dcd239565cd568f6f3a4d8c0682dc18b992a95350e,,cached,奔奔E-Star,True,6,
奔奔E-Star,sg26061,2024-06-01,https://price.pcauto.com.cn/salescar/sg26061/y2024-m6/,200,2026-08-28T23:33:26+08:00,data/raw/pcauto_sales_recrawl/sg26061/y2024-m6.html,52b9e3c718f7f8e203338fe91b0bec5c90a7505ecd89d313eb62267d9d1dd2c7,,cached,奔奔E-Star,True,6,
奔奔E-Star,sg26061,2024-12-01,https://price.pcauto.com.cn/salescar/sg26061/y2024-m12/,200,2026-08-28T23:33:28+08:00,data/raw/pcauto_sales_recrawl/sg26061/y2024-m12.html,4d26ce7d1ba2cb0fb14f005778a888378fbe1fbbd1c450e23dc5ad64073d3305,,cached,奔奔E-Star,True,6,
