role,series_name,expected_source_name,expected_identity_text,source_name,source_url,mapping_status,fetched_at,returned_source_name,date,source_sales
calibration,Model 3,Model 3,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_985.html,mapped,2026-08-29T15:42:55+08:00,Model 3,2025-02-01,18771
calibration,Model 3,Model 3,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_985.html,mapped,2026-08-29T15:42:55+08:00,Model 3,2025-03-01,25938
calibration,Model 3,Model 3,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_985.html,mapped,2026-08-29T15:42:55+08:00,Model 3,2025-04-01,8747
calibration,Model 3,Model 3,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_985.html,mapped,2026-08-29T15:42:55+08:00,Model 3,2025-05-01,13818
calibration,Model 3,Model 3,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_985.html,mapped,2026-08-29T15:42:55+08:00,Model 3,2025-06-01,16636
calibration,Model 3,Model 3,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_985.html,mapped,2026-08-29T15:42:55+08:00,Model 3,2025-07-01,9851
calibration,Model 3,Model 3,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_985.html,mapped,2026-08-29T15:42:55+08:00,Model 3,2025-08-01,17739
calibration,Model 3,Model 3,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_985.html,mapped,2026-08-29T15:42:55+08:00,Model 3,2025-09-01,20352
calibration,Model 3,Model 3,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_985.html,mapped,2026-08-29T15:42:55+08:00,Model 3,2025-10-01,6518
calibration,Model 3,Model 3,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_985.html,mapped,2026-08-29T15:42:55+08:00,Model 3,2025-11-01,26013
calibration,Model 3,Model 3,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_985.html,mapped,2026-08-29T15:42:55+08:00,Model 3,2025-12-01,27969
calibration,Model 3,Model 3,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_985.html,mapped,2026-08-29T15:42:55+08:00,Model 3,2024-01-01,9969
calibration,Model 3,Model 3,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_985.html,mapped,2026-08-29T15:42:55+08:00,Model 3,2024-02-01,7604
calibration,Model 3,Model 3,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_985.html,mapped,2026-08-29T15:42:55+08:00,Model 3,2024-03-01,14481
calibration,Model 3,Model 3,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_985.html,mapped,2026-08-29T15:42:55+08:00,Model 3,2024-04-01,5065
calibration,Model 3,Model 3,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_985.html,mapped,2026-08-29T15:42:55+08:00,Model 3,2024-05-01,15230
calibration,Model 3,Model 3,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_985.html,mapped,2026-08-29T15:42:55+08:00,Model 3,2024-06-01,18151
calibration,Model 3,Model 3,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_985.html,mapped,2026-08-29T15:42:55+08:00,Model 3,2024-07-01,9928
calibration,Model 3,Model 3,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_985.html,mapped,2026-08-29T15:42:55+08:00,Model 3,2024-08-01,18126
calibration,Model 3,Model 3,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_985.html,mapped,2026-08-29T15:42:55+08:00,Model 3,2024-09-01,23998
calibration,Model 3,Model 3,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_985.html,mapped,2026-08-29T15:42:55+08:00,Model 3,2024-10-01,4281
calibration,Model 3,Model 3,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_985.html,mapped,2026-08-29T15:42:55+08:00,Model 3,2024-11-01,28914
calibration,Model 3,Model 3,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_985.html,mapped,2026-08-29T15:42:55+08:00,Model 3,2024-12-01,21046
calibration,Model 3,Model 3,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_985.html,mapped,2026-08-29T15:42:55+08:00,Model 3,2023-01-01,12659
calibration,Model 3,Model 3,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_985.html,mapped,2026-08-29T15:42:55+08:00,Model 3,2023-02-01,8397
calibration,Model 3,Model 3,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_985.html,mapped,2026-08-29T15:42:55+08:00,Model 3,2023-03-01,21726
