series_name,date,sentiment_review_count_prior_all,sentiment_review_count_180d,sentiment_available_prior,sentiment_available_180d,platform_rating_overall_sentiment_180d_mean,platform_rating_overall_polarity_180d_mean,text_global_polarity_180d_mean,platform_rating_appearance_sentiment_180d_mean,text_appearance_polarity_180d_mean,platform_rating_interior_sentiment_180d_mean,text_interior_polarity_180d_mean,platform_rating_space_sentiment_180d_mean,text_space_polarity_180d_mean,platform_rating_power_sentiment_180d_mean,text_power_polarity_180d_mean,platform_rating_control_sentiment_180d_mean,text_control_polarity_180d_mean,platform_rating_comfort_sentiment_180d_mean,text_comfort_polarity_180d_mean,platform_rating_fuel_consumption_sentiment_180d_mean,text_fuel_consumption_polarity_180d_mean,platform_rating_configuration_sentiment_180d_mean,text_configuration_polarity_180d_mean,platform_rating_intelligence_sentiment_180d_mean,text_intelligence_polarity_180d_mean,platform_rating_value_sentiment_180d_mean,text_value_polarity_180d_mean,text_appearance_mentioned_180d_count,text_interior_mentioned_180d_count,text_space_mentioned_180d_count,text_power_mentioned_180d_count,text_control_mentioned_180d_count,text_comfort_mentioned_180d_count,text_fuel_consumption_mentioned_180d_count,text_configuration_mentioned_180d_count,text_intelligence_mentioned_180d_count,text_value_mentioned_180d_count
五菱宏光S,2022-04-01,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
五菱征程,2022-04-01,10,10,1,1,0.7695000000000001,0.7,-0.1,0.85,0.1,0.65,0.0,0.95,0.4,0.8,0.3,0.8,0.0,0.45,-0.2,0.75,-0.4,,0.16666666666666666,,1.0,,0.4,10,10,10,10,10,10,10,6,1,10
五菱星驰,2022-04-01,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
亚洲狮,2022-04-01,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
亚洲龙,2022-04-01,49,20,1,1,0.5199999999999999,-0.05,-0.05,0.8,0.5555555555555556,0.1,-0.1,0.6625,0.1111111111111111,0.4423076923076923,0.16666666666666666,0.5769230769230769,0.15789473684210525,0.5961538461538461,0.0,,0.15789473684210525,0.3625,-0.058823529411764705,,-0.3,,-0.05555555555555555,18,20,18,18,19,19,19,17,10,18
享域,2022-04-01,5,3,1,1,0.96,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.6666666666666666,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,,1.0,,,,1.0,3,3,3,3,3,3,3,2,0,3
伊兰特,2022-04-01,71,27,1,1,0.4425925925925926,-0.037037037037037035,-0.18518518518518517,0.7407407407407407,0.375,0.3888888888888889,0.0,0.5740740740740741,0.23809523809523808,0.14285714285714285,0.34782608695652173,0.27380952380952384,0.047619047619047616,0.2857142857142857,-0.25,,0.2222222222222222,0.4722222222222222,0.13043478260869565,,0.07142857142857142,,0.0,24,20,21,23,21,24,18,23,14,24
传祺GA8,2022-04-01,9,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
传祺M6,2022-04-01,11,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
传祺M8,2022-04-01,34,13,1,1,0.5769230769230769,0.15384615384615385,-0.07692307692307693,0.7884615384615384,0.2,0.6730769230769231,0.2857142857142857,0.5961538461538461,0.38461538461538464,0.3333333333333333,0.1111111111111111,0.2916666666666667,0.0,0.5,0.5,,-0.375,0.5192307692307693,-0.1111111111111111,,-1.0,,0.0,10,7,13,9,7,10,8,9,4,9
