series_name,dongchedi_series_id,resolution_status,source_url,verified_at,note
EVOS,5067,verified,https://www.dongchedi.com/auto/series/5067,2026-08-23,URL path and public review endpoint agree
ID.6 CROZZ,4961,verified,https://www.dongchedi.com/auto/series/4961,2026-08-23,URL path and public review endpoint agree
MG4,5828,verified,https://www.dongchedi.com/auto/series/5828,2026-08-23,URL path and public review endpoint agree
MG6,32,verified,https://www.dongchedi.com/auto/series/32,2026-08-23,URL path and public review endpoint agree
QQ冰淇淋,5257,verified,https://www.dongchedi.com/auto/series/5257,2026-08-23,Verified from the source parameter-page series ID
eπ007,9349,verified,https://www.dongchedi.com/auto/series/9349,2026-08-23,URL path and public review endpoint agree
