variant,R2_log_mean,R2_log_std,WMAPE_mean,WMAPE_fold_std,WMAPE_oof_global,n_features
YEAR-ONLY,0.08914353484407353,0.01615271779056746,87.74599740626748,0.9513853702890492,87.76761008061284,5
+BRAND,0.15828781293513505,0.06784504004304827,83.73305926291064,3.206064163040209,83.76905017369604,131
+CONFIG,0.3010739630678061,0.073098018737456,75.72792217761076,5.222832776170703,75.6826612385881,310
CONFIG-ONLY,0.16760794495251105,0.052421367140860875,82.54950387879505,3.757163547458728,82.52786116549728,179
