MAE,RMSE,MAPE,WMAPE,series_name,order,status
591.7068866664057,607.9216284975535,351.6828199906632,241.51301496587988,威朗,"(0, 1, 1)",ok
845.8333333333334,892.764339938971,500.7952948419526,253.87693846923463,型格,"(0, 1, 0)",ok
2016.1986576436454,2754.613948176906,409.51230707169486,47.96856317007761,荣威i5,"(1, 1, 1)",ok
895.7704649794863,1148.3378241526027,17.58058111692057,15.644823862947307,奥迪A3,"(0, 1, 1)",ok
1910.6666666666667,2031.8156084316968,58.448972799228436,49.49913644214162,领克03,"(0, 1, 0)",ok
1659.3333333333333,1695.6123770877982,152.62680832743047,132.7820752200587,高尔夫,"(0, 1, 0)",ok
624.8935829311914,990.1143190912193,64.84891666156892,26.783066630381803,捷达VA3,"(1, 1, 1)",ok
1221.7385111204867,1250.6077885247755,239.72639067493984,204.5892008574636,马自达3 昂克赛拉,"(1, 1, 2)",ok
12346.136461360364,14302.486145477998,113.99218300304588,77.86985963077734,轩逸,"(0, 1, 2)",ok
5870.166666666667,6673.214030735115,41.055084741316215,35.05798039118101,朗逸,"(0, 1, 0)",ok
8819.927819182909,9524.794460926363,80.69834924505828,62.55933481705791,速腾,"(1, 1, 1)",ok
5204.323189495829,5767.671229905497,63.102865452331926,53.25568635429098,逸动,"(0, 1, 1)",ok
1335.0,1694.080084687065,25.391861332048755,25.486827033218784,卡罗拉,"(0, 1, 0)",ok
2987.7840072438466,3675.865205768198,27.77370965938757,27.303568611820644,星瑞,"(0, 1, 2)",ok
2773.3333333333335,3658.4394205423337,28.712949496969387,29.432573935191737,新帝豪,"(0, 1, 1)",ok
5322.833333333333,6062.502549827643,43.089471079437416,37.14425280003722,凯美瑞,"(0, 1, 0)",ok
6761.424430634254,7669.165141838279,64.56882272691685,50.68534055947717,帕萨特,"(1, 1, 0)",ok
5728.0,6298.420092901605,53.21628837832798,44.76398874648327,迈腾,"(0, 1, 0)",ok
8647.017465613746,9123.97764536878,193.53614067082592,128.41787280929302,雅阁,"(0, 1, 2)",ok
3021.6917642269023,3279.4304354755354,30.23081579408535,27.70161133321326,宝马3系,"(1, 1, 1)",ok
3712.206240269765,4302.694835958624,80.72856341864387,54.334245948378005,奔驰C级,"(0, 1, 2)",ok
2576.0733302247886,2756.7396563638667,23.057642945087185,21.184232862789855,长安CS75 PLUS,"(2, 1, 1)",ok
10586.012957595967,10912.587240172199,85.33222438458743,82.21720266339064,星越L,"(0, 1, 2)",ok
5117.083780476243,5680.831701298534,44.55853492194501,39.04928799091569,锋兰达,"(1, 1, 0)",ok
8138.198541022643,9110.849422558176,95.36762618054769,72.02689252007708,卡罗拉锐放,"(2, 1, 0)",ok
2816.949559405353,3708.484068075182,31.892268223712648,38.87860823138987,威兰达,"(1, 1, 0)",ok
2192.2903695808745,2279.3537158653944,113.09274339251326,95.7262369367968,T-ROC探歌,"(1, 1, 1)",ok
2031.8818819426406,2123.562213402647,104.32521884580413,91.21804183805345,瑞虎7,"(0, 1, 2)",ok
1698.666442982714,1872.2562194267673,773.359961998435,167.5213454618061,奔驰GLB,"(0, 1, 1)",ok
422.78493479843036,611.5248021400607,21.763194206056504,16.855213347445726,奥迪Q3,"(0, 1, 1)",ok
995.3424996725535,1047.0260484881069,46.49208678501641,38.86538460259873,凯迪拉克CT5,"(0, 1, 1)",ok
1416.0705015329138,1582.9580603626976,84.66994459068681,66.94313748185851,蒙迪欧,"(0, 1, 1)",ok
1387.3911349985804,1579.41210857591,83.45739316356097,58.54382734363516,君威,"(0, 1, 1)",ok
1815.985627300687,1979.2979904252422,85.26108767351909,67.76908672598657,英仕派,"(1, 1, 1)",ok
6347.0,6862.046900646094,53.83648872827449,45.98942105644518,途观L,"(0, 1, 0)",ok
5628.406152555889,6482.941968661988,73.19882227512416,55.07246724614373,瑞虎8,"(1, 1, 1)",ok
3404.9573864090034,4439.116307452174,38.60951091479616,27.807298749750263,探岳,"(2, 1, 2)",ok
3502.5639562723895,3563.1686336780836,43.658743067568054,40.00111109814861,奔驰GLC,"(0, 1, 1)",ok
9.275729417851785,10.34703933539013,463.23258708988203,252.97443866868505,探界者,"(0, 1, 1)",ok
354.5,382.68485365211586,93.36632034832175,56.67466027178257,福瑞迪,"(0, 1, 1)",ok
571.914324714516,588.4864370343525,97.53939243670547,76.95640162115039,标致408,"(0, 1, 2)",ok
66.02441711563203,73.3117668622145,126.03631306894944,80.0295965037964,骐达,"(1, 1, 0)",ok
354.4688644009843,422.1058389751241,32.71249491996995,37.07833309633726,起亚K3,"(2, 1, 2)",ok
741.2494880206618,760.235799050242,318.62114294648217,233.83264606330027,威然,"(0, 1, 1)",ok
