version,series_name,WMAPE
FULL,AION S,52.4064551645334
FULL,ID.4 CROZZ,133.38263468245228
FULL,ID.6 CROZZ,14349.83491897583
FULL,MG4,45.01992530904167
FULL,MG7,33.79615603469488
FULL,Model 3,
FULL,Model Y,
FULL,QQ冰淇淋,56.99894046224616
FULL,RAV4荣放,39.180765385432096
FULL,T-ROC探歌,29.63982053167755
FULL,e爱丽舍,48.89360353491957
FULL,五菱佳辰,51.05885569099393
FULL,五菱星驰,135.31463135828648
FULL,传祺GA8,
FULL,传祺M6,38.71725989886196
FULL,传祺M8,55.34880595500608
FULL,元PLUS,50.06213438599521
FULL,冠道,26.26116260978746
FULL,凌宝BOX,37.02487870953695
FULL,凌尚,861.5657612428827
FULL,凌放HARRIER,863.0965819725624
FULL,凡尔赛C5 X,32.83816623687744
FULL,凯美瑞,32.932613064586945
FULL,凯迪拉克CT5,28.28442385990173
FULL,凯迪拉克XT5,36.262081599964546
FULL,凯迪拉克XT6,136.27221770446096
FULL,别克GL8,41.92613921856714
FULL,卡罗拉,33.349454009959274
FULL,卡罗拉双擎E+,
FULL,卡罗拉锐放,25.653694599276474
FULL,吉利ICON,35.92545244635285
FULL,君威,26.600819209497416
FULL,型格,151.40633976656298
FULL,大众ID.3,103.86607998707255
FULL,大家9,122.62144074095742
FULL,大通G10,48.185944849131054
FULL,大通G50,27.36632300204918
FULL,奔驰C级,35.26033717837497
FULL,奔驰E级,32.73001974658023
FULL,奔驰GLB,87.99087153227215
FULL,奔驰GLC,29.979328370660202
FULL,奔驰V级,159.2834146652448
FULL,奥德赛,19.997418206660427
FULL,奥迪A3,33.659218262202
FULL,奥迪A6L,16.9692810582903
FULL,奥迪A7L,65.95948840725806
FULL,奥迪Q3,32.76088818521595
FULL,奥迪Q5 e-tron,
FULL,奥迪Q5L,16.16713735142515
FULL,威兰达,59.0265432127053
FULL,威朗,209.51114991895196
FULL,威然,210.69297429514987
FULL,威霆,121.0309569789715
FULL,威飒,820.6266241558527
FULL,宋PLUS新能源,1337.0352690305824
FULL,宏光MINIEV,58.22893182341103
FULL,宝马3系,27.722004581643063
FULL,宝马X5,19.076066644905502
FULL,宝马i3,19.539775683055062
FULL,宝马iX1,26.47170527015281
FULL,宝马iX3,298.5135244038291
FULL,小虎FEV,
FULL,小鹏P5,
FULL,岚图梦想家,41.20366525859033
FULL,帕萨特,30.17595267307752
FULL,帕萨特新能源,209.40632672991072
FULL,库斯途,28.311573759703272
FULL,护卫舰07,2266.6346232096357
FULL,捷达VA3,48.75677416550959
FULL,探岳,33.82488224200003
FULL,探界者,321.3249596682462
FULL,揽境,27.407764253162203
FULL,新帝豪,50.02348778253568
FULL,星瑞,52.127867545182724
FULL,星越L,59.98192460604791
FULL,星途ES,260.094285069871
FULL,智跑,141.84784825072694
FULL,朗逸,33.60117057246305
FULL,本田HR-V,58.56709237453723
FULL,本田XR-V,50.077632140271646
FULL,极氪001,9.203846062712472
FULL,极氪009,52.90285304815393
FULL,林肯Z,27.078357830809434
FULL,标致408,54.07562974483664
FULL,标致508,73.20273748193563
FULL,格瑞维亚,38.39193825413737
FULL,欧拉好猫,107.47139854342942
FULL,欧拉闪电猫,
FULL,欧诺S,30.739436444391334
FULL,汉,50.69451995784261
FULL,沃尔沃S90,66.63398273357629
FULL,沃尔沃S90新能源,868.9134624642385
FULL,海豚,48.99939894063888
FULL,海豹07DM-i,38.20459914199423
FULL,深蓝SL03,70.94224621000744
FULL,焕驰,517.5799417495728
FULL,瑞虎3x,28.045383418835563
FULL,瑞虎7,26.17636872194164
FULL,瑞虎8,23.18600091604493
FULL,瑞虎9,26.109789100485703
FULL,瑞风E3,32.968397910550514
FULL,皇冠陆放,22.820443207774453
FULL,皓影新能源,198.51279305939627
FULL,福瑞迪,69.09847813480987
FULL,秦PLUS,50.92590677518319
FULL,秦新能源,1396.016211058963
FULL,红旗E-HS9,
