series_name,actual_volume,cold_start,has_prior_review,has_recent_180d_review,absolute_error_BASE,absolute_error_LOCAL_LEXICON_FIXED,series_WMAPE_BASE,series_WMAPE_LOCAL_LEXICON_FIXED,brand,category,WMAPE_improvement_pp,absolute_error_reduction,share_of_best_total_absolute_error,history_group,sentiment_coverage_group,actual_volume_quartile
高尔夫GTI,982.0,False,1,1,241.16584777832037,207.9033966064453,24.55864030329128,21.171425316338627,大众,轿车,3.387214986952653,33.26245117187506,0.00010034441433311098,historical,recent_180d,Q2
标致508,719.0,False,1,1,306.06695556640625,194.978515625,42.56842219282424,27.118013299721838,标致,轿车,15.450408893102399,111.08843994140625,9.410623047667615e-05,historical,recent_180d,Q2
长安UNI-T,102.0,False,1,0,282.33293533325195,185.0206298828125,276.7969954247568,181.39277439491423,长安,SUV,95.40422102984257,97.31230545043945,8.930006458854816e-05,historical,prior_but_not_recent,Q1_low
瑞风RF8,104.0,False,1,1,250.23315048217773,170.7021598815918,240.6087985405555,164.13669219383826,江淮瑞风,MPV,76.47210634671725,79.53099060058594,8.238926606446976e-05,historical,recent_180d,Q1_low
风光380,271.0,False,0,0,151.47021865844727,168.32535934448242,55.893069615663194,62.11267872490126,东风风光,MPV,-6.219609109238064,-16.855140686035156,8.124210511483729e-05,historical,no_prior_review,Q1_low
比亚迪e9,159.0,False,1,0,154.1391590833664,158.54286746680737,96.94286734802918,99.712495262143,比亚迪,轿车,-2.769627914113812,-4.403708383440971,7.65205929404023e-05,historical,prior_but_not_recent,Q1_low
本田UR-V,990.0,False,1,1,213.75816345214844,158.36697387695312,21.591733682035198,15.996664027975063,本田,SUV,5.595069654060135,55.39118957519531,7.643569803465777e-05,historical,recent_180d,Q2
大通G90,89.0,False,1,1,223.72502899169922,157.459379196167,251.37643706932496,176.92065078221012,大通,MPV,74.45578628711485,66.26564979553223,7.59976481606207e-05,historical,recent_180d,Q1_low
五菱宏光,0.0,False,1,1,708.763801574707,156.24093627929688,,,五菱,SUV,,552.5228652954102,7.540956762472113e-05,historical,recent_180d,Q1_low
大通G10,980.0,False,1,1,147.26284790039062,153.40725708007812,15.026821214325576,15.653801742865115,大通,MPV,-0.6269805285395389,-6.1444091796875,7.40418945405157e-05,historical,recent_180d,Q2
