comparator,candidate,point_comparator_WMAPE,point_candidate_WMAPE,point_improvement_pp,bootstrap_mean_improvement_pp,bootstrap_ci_2_5_pp,bootstrap_ci_97_5_pp,bootstrap_probability_candidate_better,bootstrap_replicates,cluster_unit
BASE,ALL_SENTIMENT_FIXED,40.00988069948561,41.303254256137315,-1.2933735566517015,-1.301546078460207,-2.8842885452376787,0.06915287149501055,0.0312,5000,series_name
BASE,LOCAL_LEXICON_FIXED,40.00988069948561,39.12548080170414,0.8843998977814707,0.9122850501108276,-0.28397119251796266,2.107969713037331,0.9346,5000,series_name
BASE,PLATFORM_RATING_FIXED,40.00988069948561,38.80334407039431,1.2065366290913033,1.2368288890994772,0.08103359405077379,2.4913644994941486,0.9806,5000,series_name
BASE,REVIEW_RICH_FIXED,40.00988069948561,39.313235621826216,0.6966450776593973,0.7207996793287869,-0.6461861053550692,2.135469161660126,0.8566,5000,series_name
BASE,REVIEW_TEXT_FIXED,40.00988069948561,38.94411213402384,1.0657685654617737,1.1054145336338974,-0.5958157267702947,3.05328810934403,0.8904,5000,series_name
BASE,REVIEW_TEXT_ROLLING,40.00988069948561,39.32650056162892,0.6833801378566946,0.7409918719639882,-1.2871548373764594,2.9114271045470077,0.7534,5000,series_name
REVIEW_TEXT_FIXED,REVIEW_TEXT_ROLLING,38.94411213402384,39.32650056162892,-0.3823884276050791,-0.3644226616699092,-1.3442362806631185,0.24763442055969223,0.259,5000,series_name
PLATFORM_RATING_FIXED,LOCAL_LEXICON_FIXED,38.80334407039431,39.12548080170414,-0.32213673130983267,-0.3245438389886495,-1.406557255969585,0.7122177250360742,0.2814,5000,series_name
