MAE,RMSE,MAPE,WMAPE,version,scenario,series_name,test_months,actual_volume
1699.0100504557292,1771.4045363764496,52.27213723361383,41.95604520201825,ALL_SENTIMENT_FIXED,fixed_origin_primary,AION RT,6,24297.0
1171.8177897135417,1256.1982584066413,116.17598301974456,53.17179715859677,ALL_SENTIMENT_FIXED,fixed_origin_primary,AION S,6,13223.0
912.8839925130209,1095.2408127155004,61.14314474406953,46.516381784102975,ALL_SENTIMENT_FIXED,fixed_origin_primary,AION UT,6,11775.0
129.71689097086588,134.2237326183037,204.54290139631928,159.81547142201137,ALL_SENTIMENT_FIXED,fixed_origin_primary,EO 羿欧,6,487.0
0.1883191333618015,0.23037587728247674,,,ALL_SENTIMENT_FIXED,fixed_origin_primary,EVOS,6,0.0
671.2863260904948,716.3230819408245,180.7535519949149,118.28833939920614,ALL_SENTIMENT_FIXED,fixed_origin_primary,ID.4 CROZZ,6,3405.0
53.553332010904946,66.87421117326532,176.78661685765408,57.174375812354036,ALL_SENTIMENT_FIXED,fixed_origin_primary,ID.4 X,6,562.0
36.460625330607094,40.34826138273799,6693.702697753906,21876.375198364258,ALL_SENTIMENT_FIXED,fixed_origin_primary,ID.6 CROZZ,6,1.0
31.875192006429035,34.02200342446069,411.7947273288394,261.98787950489617,ALL_SENTIMENT_FIXED,fixed_origin_primary,IQ傲歌,6,73.0
118.69501113891602,203.9919219344401,155.82052079273163,94.07794806254903,ALL_SENTIMENT_FIXED,fixed_origin_primary,IQ锐歌,6,757.0
4728.074055989583,5228.431921895972,46.12059573798011,40.09504096778581,ALL_SENTIMENT_FIXED,fixed_origin_primary,MG4,6,70753.0
27.85234196980794,33.02375007617556,362.08946084219315,146.59127352530496,ALL_SENTIMENT_FIXED,fixed_origin_primary,MG6,6,114.0
482.1664098103841,519.8717070281092,64.81428928413112,65.08432978317896,ALL_SENTIMENT_FIXED,fixed_origin_primary,MG7,6,4445.0
16.18749777475993,19.52803195726187,,,ALL_SENTIMENT_FIXED,fixed_origin_primary,Model 3,6,0.0
22.496250073115032,28.383158890659203,,,ALL_SENTIMENT_FIXED,fixed_origin_primary,Model Y,6,0.0
74.44033432006836,92.90255040271263,29.29324071029645,33.381315838595675,ALL_SENTIMENT_FIXED,fixed_origin_primary,PATHFINDER探陆,6,1338.0
105.29976018269856,111.79111478631737,,,ALL_SENTIMENT_FIXED,fixed_origin_primary,Polestar 4,6,0.0
410.47816975911456,559.990472717713,65.20581867895523,49.764983199731006,ALL_SENTIMENT_FIXED,fixed_origin_primary,QQ冰淇淋,6,4949.0
2283.9246419270835,2979.726582372465,17.84698020647568,19.896547102771002,ALL_SENTIMENT_FIXED,fixed_origin_primary,RAV4荣放,6,68874.0
747.4214477539062,1175.2636263496813,24.633849237593367,32.63611590512654,ALL_SENTIMENT_FIXED,fixed_origin_primary,T-ROC探歌,6,13741.0
344.04831949869794,401.47960476617686,37.84822435975164,33.840818311347334,ALL_SENTIMENT_FIXED,fixed_origin_primary,eπ007,6,6100.0
344.3084259033203,426.1301345343184,54.957007116230514,54.42177437881776,ALL_SENTIMENT_FIXED,fixed_origin_primary,e爱丽舍,6,3796.0
1966.533203125,2141.65626093931,44.175737238829306,40.755757033435806,ALL_SENTIMENT_FIXED,fixed_origin_primary,firefly萤火虫,6,28951.0
89.01188278198242,91.2056637614982,,,ALL_SENTIMENT_FIXED,fixed_origin_primary,iCAR 03,6,0.0
109.41338857014973,149.71123793575177,37.21104532733963,40.67412214503708,ALL_SENTIMENT_FIXED,fixed_origin_primary,世纪,6,1614.0
122.60853068033855,148.70854769508122,162.96433310406172,43.020537080820546,ALL_SENTIMENT_FIXED,fixed_origin_primary,东风本田S7,6,1710.0
700.8908487955729,882.3960755746969,232.1441130051138,68.5803178860639,ALL_SENTIMENT_FIXED,fixed_origin_primary,丰田bZ3,6,6132.0
529.1929829915365,544.2454215515542,93.6851563015837,59.44875300410445,ALL_SENTIMENT_FIXED,fixed_origin_primary,丰田bZ5,6,5341.0
119.69242095947266,197.91728198895237,33.72008860232823,43.81662756295521,ALL_SENTIMENT_FIXED,fixed_origin_primary,五菱佳辰,6,1639.0
0.14426573862632117,0.1890246354745631,,,ALL_SENTIMENT_FIXED,fixed_origin_primary,五菱宏光,6,0.0
0.4127197364966075,0.47928054533168124,,,ALL_SENTIMENT_FIXED,fixed_origin_primary,五菱宏光S,6,0.0
63.345413525899254,66.35615711303863,72.9621021634053,73.23169193745578,ALL_SENTIMENT_FIXED,fixed_origin_primary,五菱征程,6,519.0
0.11317981965839863,0.13714172229928537,,,ALL_SENTIMENT_FIXED,fixed_origin_primary,五菱星云,6,0.0
825.5477905273438,856.469545748649,274.3081265754708,219.46330275427837,ALL_SENTIMENT_FIXED,fixed_origin_primary,五菱星光,6,2257.0
309.30234781901044,332.2539129711598,2743.5170544638686,134.67446204020771,ALL_SENTIMENT_FIXED,fixed_origin_primary,五菱星驰,6,1378.0
1.8139019807179768,2.064408605906509,45.157923579216,64.0200699076933,ALL_SENTIMENT_FIXED,fixed_origin_primary,亚洲狮,6,17.0
3045.1907552083335,3208.4107944448524,48.82481559927352,39.397844857792826,ALL_SENTIMENT_FIXED,fixed_origin_primary,亚洲龙,6,46376.0
0.07518105860799551,0.10066015058214998,,,ALL_SENTIMENT_FIXED,fixed_origin_primary,享域,6,0.0
1046.954345703125,1163.1435627571077,36.14725093200589,29.367583329680926,ALL_SENTIMENT_FIXED,fixed_origin_primary,伊兰特,6,21390.0
593.8743794759115,744.7069045207996,35.816537091202854,39.906442791527255,ALL_SENTIMENT_FIXED,fixed_origin_primary,传祺E8新能源,6,8929.0
0.10149842221289873,0.13025303410307587,,,ALL_SENTIMENT_FIXED,fixed_origin_primary,传祺GA8,6,0.0
704.5621744791666,898.6601444360294,30.66499121459691,36.68957686925013,ALL_SENTIMENT_FIXED,fixed_origin_primary,传祺M6,6,11522.0
2707.7031860351562,2958.823292826248,51.64245538326296,55.5958494155463,ALL_SENTIMENT_FIXED,fixed_origin_primary,传祺M8,6,29222.0
1561.6329752604167,1869.9670574577922,57.17471666098106,37.25121397671252,ALL_SENTIMENT_FIXED,fixed_origin_primary,元PLUS,6,25153.0
6125.7568359375,6534.620014385696,72.99358769400813,44.45934560980404,ALL_SENTIMENT_FIXED,fixed_origin_primary,元UP,6,82670.0
34.15192667643229,44.074163968199606,13.39233663163101,10.606188408829905,ALL_SENTIMENT_FIXED,fixed_origin_primary,冠道,6,1932.0
106.01054382324219,122.04433385132731,64.02382578739025,41.46435873138547,ALL_SENTIMENT_FIXED,fixed_origin_primary,凌宝BOX,6,1534.0
36.90163612365723,40.2572672440369,621.2473439235313,375.27087583380234,ALL_SENTIMENT_FIXED,fixed_origin_primary,凌尚,6,59.0
2.130082050959269,2.3134941715308686,32.04145850557269,49.15573963752159,ALL_SENTIMENT_FIXED,fixed_origin_primary,凌放HARRIER,6,26.0
472.06776936848956,508.6695027700642,30.745454748241265,24.525124393548683,ALL_SENTIMENT_FIXED,fixed_origin_primary,凌渡,6,11549.0
367.5374348958333,465.63959981989825,30.938577468381617,34.456634521484375,ALL_SENTIMENT_FIXED,fixed_origin_primary,凡尔赛C5 X,6,6400.0
51.092539509137474,74.54867899437285,94.38480716304474,97.94097030505586,ALL_SENTIMENT_FIXED,fixed_origin_primary,凯威德,6,313.0
2060.7526041666665,2654.465333817624,12.7412645135944,14.38052084181389,ALL_SENTIMENT_FIXED,fixed_origin_primary,凯美瑞,6,85981.0
386.04833730061847,576.837327955171,95.2969959795205,79.37937024687152,ALL_SENTIMENT_FIXED,fixed_origin_primary,凯翼拾月,6,2918.0
615.0005900065104,846.7284179415444,19.653217099079654,24.014080047110912,ALL_SENTIMENT_FIXED,fixed_origin_primary,凯迪拉克CT5,6,15366.0
1109.7391764322917,1241.6585899002519,28.71382306038633,30.708089556766822,ALL_SENTIMENT_FIXED,fixed_origin_primary,凯迪拉克XT5,6,21683.0
81.24256261189778,88.61321857694547,106.65650054654759,90.6050884147559,ALL_SENTIMENT_FIXED,fixed_origin_primary,凯迪拉克XT6,6,538.0
0.9448735689123472,1.1173330744857912,57.86530623833338,56.69241413474083,ALL_SENTIMENT_FIXED,fixed_origin_primary,别克E4,6,10.0
0.06439867988228798,0.08898888163998375,,,ALL_SENTIMENT_FIXED,fixed_origin_primary,别克GL6,6,0.0
1182.901835123698,1308.778940422906,33.694629854331424,36.113626473017796,ALL_SENTIMENT_FIXED,fixed_origin_primary,别克GL8,6,19653.0
713.4449869791666,894.9462836869151,28.516955255474237,28.208698002471174,ALL_SENTIMENT_FIXED,fixed_origin_primary,别克GL8新能源,6,15175.0
65.52187410990398,79.43353845265348,40.2191881768522,46.034103590096464,ALL_SENTIMENT_FIXED,fixed_origin_primary,勇士,6,854.0
792.3946228027344,852.2877034104878,8950.898204029536,558.0243822554468,ALL_SENTIMENT_FIXED,fixed_origin_primary,北京EU5,6,852.0
44.27074368794759,46.79964204443015,39.06293782066333,39.0050605180155,ALL_SENTIMENT_FIXED,fixed_origin_primary,北京现代ix35,6,681.0
169.53092114130655,236.92959069019489,95.47935352756647,97.61857263414964,ALL_SENTIMENT_FIXED,fixed_origin_primary,博越REV,6,1042.0
1361.73046875,1837.392975624853,21.993857697098882,25.99714526059565,ALL_SENTIMENT_FIXED,fixed_origin_primary,卡罗拉,6,31428.0
0.09359520766884089,0.1113094637065967,,,ALL_SENTIMENT_FIXED,fixed_origin_primary,卡罗拉双擎E+,6,0.0
3236.7158203125,3740.0988271322394,34.72328503146808,28.646460433783723,ALL_SENTIMENT_FIXED,fixed_origin_primary,卡罗拉锐放,6,67793.0
1.3515765070915222,1.3682323043328897,,,ALL_SENTIMENT_FIXED,fixed_origin_primary,合创A06,6,0.0
178.5373331705729,218.22768171974633,30.32664138650168,24.55246387860274,ALL_SENTIMENT_FIXED,fixed_origin_primary,吉利ICON,6,4363.0
1891.0928751627605,2194.3974163675734,61.02538384639055,56.92347991258999,ALL_SENTIMENT_FIXED,fixed_origin_primary,吉利熊猫,6,19933.0
684.2427368164062,872.9472714469335,25.978847585754885,28.873032005755945,ALL_SENTIMENT_FIXED,fixed_origin_primary,君威,6,14219.0
1363.9732666015625,1773.7849630771975,25.701875632267644,30.149718536727732,ALL_SENTIMENT_FIXED,fixed_origin_primary,君越,6,27144.0
87.61453501383464,96.52455608084507,86.0480293121634,76.40802472136741,ALL_SENTIMENT_FIXED,fixed_origin_primary,启辰D60,6,688.0
0.10016611653069656,0.1250892395380224,,,ALL_SENTIMENT_FIXED,fixed_origin_primary,启辰T60,6,0.0
1037.3388671875,1209.9833829953172,65.95814258301085,60.87669408377347,ALL_SENTIMENT_FIXED,fixed_origin_primary,唐新能源,6,10224.0
20.023880004882812,23.3641608038121,27.68258910757372,27.367489756104074,ALL_SENTIMENT_FIXED,fixed_origin_primary,嘉华,6,439.0
359.96030680338544,377.03135718285694,211.95437590714508,108.0421130975644,ALL_SENTIMENT_FIXED,fixed_origin_primary,型格,6,1999.0
195.16957219441733,235.46129352429446,73.43967775619693,78.6974081429102,ALL_SENTIMENT_FIXED,fixed_origin_primary,埃尚,6,1488.0
844.1276652018229,853.9025800453171,127.9717355611744,123.5007556988768,ALL_SENTIMENT_FIXED,fixed_origin_primary,夏,6,4101.0
221.84211222330728,338.90996514978576,19.755975241999753,24.972845653655604,ALL_SENTIMENT_FIXED,fixed_origin_primary,大众CC,6,5330.0
