series_name,actual_six_month_volume,original_prediction_volume,cold_method_prediction_volume,original_WMAPE,cold_method_WMAPE,WMAPE_improvement_pp
日产NX8,12211.0,248.77695274353027,2697.2032222747803,98.5848568882035,81.32917805450592,17.255678833697587
铂智7,10351.0,236.59343433380127,5358.661789894104,98.41624690120248,49.09076236455455,49.325484536647934
银河星耀7,7797.0,304.4656186103821,3728.6036496162415,99.77538850776229,55.85929217576461,43.91609633199768
海豹07EV,1873.0,286.6525115966797,2486.8373413085938,98.43824379468307,60.38212895838895,38.05611483629413
埃尚,1488.0,656.8426055908203,9470.761329650879,60.79839070638021,536.4758958098708,-475.67750510349066
博越REV,1042.0,101.18307042121887,4462.123284578323,92.41978717170612,328.2268027426414,-235.80701557093528
岚图追光L,672.0,3.6511714458465576,1752.5747900009155,99.76500489172481,160.79981994061242,-61.03481504888761
凯威德,313.0,107.29990220069885,189.43180298805237,85.66571264602125,59.42548875229809,26.24022389372316
沃尔沃ES90,50.0,32.520098090171814,408.5605705976486,116.7327868938446,717.1211411952972,-600.3883543014526
