model,PICP,MPIW,MPIW_pct,WMAPE,n_points
ARIMA,0.892,7496.5,229.1,60.7,900
Prophet,0.632,3848.4,117.6,62.7,900
XGBoost,0.711,3482.3,106.4,40.9,900
