MAE,RMSE,MAPE,WMAPE,series_name
2335.1018983361323,3231.928897589254,324.6482014886558,105.95637442348024,AION S
655.3027639099081,711.9328190367413,172.36345771281256,115.47185267134942,ID.4 CROZZ
111.64301325040658,145.6771851880045,9051.332713647525,66985.80795024395,ID.6 CROZZ
196.79092530830346,252.18322625392526,449.345746641436,155.9769553302273,IQ锐歌
11596.470205917649,12204.409446110505,97.9776793715718,98.34045374119245,MG4
1019.3797642650362,2253.771595971567,,,Model 3
535.6737119370001,926.3783530171569,,,Model Y
435.24993240740605,468.87192605550774,233.84119380156517,195.17934188672916,PATHFINDER探陆
1968.981125334233,2049.285988237816,216.57173886297483,193.6702746230393,eπ007
2813.2390545200365,4250.143559615157,,,iCAR 03
598.0164374006537,682.5188467353187,359.8197906382636,218.91998928638938,五菱佳辰
1.4898814024024987,1.5668704291648574,,,享域
1.9313757012835613,2.133356102829649,,,传祺GA8
303.64815804805755,368.66204755514775,15.683520512360708,15.812263047112873,传祺M6
6412.912789162085,7373.46438463283,234.0799589913399,152.97370784786114,元PLUS
4963.801370554338,5648.6443720066945,42.90351375750062,36.026137925881244,元UP
141.51625714200458,169.26544502525434,77.14667600405565,55.35186068135772,凌宝BOX
7601.2929425890325,7847.3544347307625,53.46332151664788,53.043995365876405,凯美瑞
1772.7086499289144,1944.2742904371419,49.395088827660814,49.053414654676416,凯迪拉克XT5
189.11766883701785,203.6466398352582,250.5365333573245,210.91189833124668,凯迪拉克XT6
1314.067064959491,1708.1307217313868,44.38633237218074,40.11806029490127,别克GL8
1786.2936778733201,2629.736444635943,23534.533250898523,1257.953294276986,北京EU5
3435.5305692411807,3653.305302875684,67.18697793740662,65.58859429631883,卡罗拉
0.9340569905498092,0.9426485511076134,,,卡罗拉双擎E+
3781.5576000024716,4831.460647652754,30.28090357480157,33.46856696121256,卡罗拉锐放
2053.115080950251,2611.2263256675687,39.656354672067735,45.38273830570847,君越
0.8930493787119258,0.9035383548748133,,,启辰T60
112.84150698489312,120.19521177421304,164.03576892599122,154.22529428459197,嘉华
146.40148895977822,157.76709765696498,339.2858054041357,134.93224788919653,大家9
295.1214403966771,337.12389758967913,147.98220556196657,116.11335359869261,大通G50
947.6437677143689,1135.0802319661586,34.50543096809686,38.50384374812902,奇骏
3264.284912470966,3418.7619858354606,135.20826191633296,75.25728904832198,奔腾小马
336.5189047365839,488.2757735715555,37.26314010780096,38.00326422773393,奕炫
917.7404449145748,1022.0892620006443,45.831449021724005,48.13744793677287,奕跑
315.9632635644989,538.1944915576747,37.99220913906766,32.25211945197335,奥德赛
2221.29225263412,2640.8172565405207,21.022947345477135,22.492959876807454,奥迪A6L
943.3329748594882,1081.7330193882615,36.349665150576996,37.60795913061082,奥迪Q3
2511.1060534459757,3752.402812844837,23.776197909628138,29.33363767824281,奥迪Q5L
2505.778625732882,2894.1034563999497,33.2445951182591,34.58392969060633,威兰达
524.9872406377768,619.662124115571,244.53752165165702,165.61111692043434,威然
570.0315605798239,578.9074882226231,207.7918929979378,183.09364900850875,威霆
13611.018145760967,13797.692475626242,9991.048072280139,5451.676159850855,宋PLUS新能源
3116.5048185985884,4199.55720449543,22.109127080123315,25.685832101528224,宏光MINIEV
1686.4941213019792,2119.9524708862186,36.82793858518447,38.10281555827795,宝来
3780.389087961756,4687.25443827047,31.747061051091663,34.65703234288372,宝马3系
2258.1794075390208,2488.705530590076,44.855045612741975,44.964246657266536,宝马X5
741.0069113833684,757.6663143157897,78.4715452231911,70.07157554452657,宝马i3
10194.079057509176,10862.863366773405,1281.1037184732397,75.98448909890561,小米SU7
5.416877637896634,5.531159233883565,,,小虎FEV
3.8027787312379586,3.8601288244195824,,,小鹏P5
1217.3898771862043,1326.4307903611086,79.13434944118798,83.09828513216412,小鹏P7
1339.5469146651521,1604.7202034029344,55.46986606129541,60.32183644544366,小鹏X9
1963.4736907905938,2257.6769462667494,33.95520841712212,36.884289745596625,岚图梦想家
3109.3194228222405,4976.25462949324,17.87042445816991,23.30824155039161,帕萨特
548.0902310450792,1080.4952171497691,493.58166379795773,93.95832532201358,帕萨特新能源
1625.0060575052175,1798.611039889655,89.38220727881975,81.48116617943595,思域
909.6076559890729,1540.5620419388656,4833.311738266297,90960.7655989073,护卫舰07
867.5230528628273,989.0163517050717,45.56358448073128,37.18221528092695,捷达VA3
3708.634804989022,3956.181411975131,31.553148089976307,30.28734409061527,探岳
3824.4359323492986,4433.820643878489,38.21422388051732,40.587617790603844,新帝豪
282.7583405680464,360.08952862772514,98.52630279975017,68.35415162805312,星海V9
435.9158015306848,610.3535963658977,2433.6351407581583,112.54280590293067,星瑞L
3449.6014834211733,5057.249780564319,22.74739179835649,26.791633961383283,星越L
889.4978929730559,1325.7833050097868,770.2389652213922,106.52669376922823,星越L 智擎
687.9364138544979,733.3661435539861,2013.9899258436526,507.0784377305881,星途ES
3501.3534612087756,5399.495058608417,18.209926901076212,20.910885151299112,朗逸
594.725333055878,1360.2673564147533,479.85673170689785,360.43959579144115,本田UR-V
707.8132337901167,1278.4301255421024,330.7436186616625,234.24596815999448,本田XR-V
708.3679292123024,821.2579655957476,102.73083966467291,59.98034963694347,极氪009
1702.3664348170544,1733.7027645473274,2971.335042158695,1336.9369906940217,极狐考拉
223.62116005607376,253.24344964442847,24.163760074586897,24.47067226584794,林肯Z
122.36266165372452,135.84905472040438,108.88120945272321,90.19360809856845,标致5008
1486.0269137383,1806.293743750956,74.35070492087841,49.35053679321303,格瑞维亚
412.1431693459586,470.0224261669866,88.51782029433956,78.8036652669137,欧诺S
4470.128251216799,5031.897844584115,179.46273436550018,155.22176924185885,汉
114.18288774634296,118.40106028818238,747.0871735888479,590.6011435155671,沃尔沃EM90
629.4573708020862,694.6880810300871,101.07369839788734,65.44349722426819,沃尔沃S90
226.18284582994465,233.81543684490873,1660.6365924562301,955.7021654786395,沃尔沃S90新能源
2765.4802699439265,2983.862811518908,1968.5768890676773,1698.3502169563521,海狮07EV
1104.0101537013672,1665.1716379580687,1540.0951222290942,1536.905086359212,海豹
2670.71490017481,2787.3195749258525,646.3484700415183,540.0839029676057,海豹07DM-i
111.75090461286568,203.09643401045582,,,海马8S
19654.43350307546,29905.917149664034,291.4235117692442,214.00344981118366,海鸥
1490.997742472602,1531.7468899089172,11297.709861091123,567.9991399895628,深蓝SL03
37.7143235963612,38.79120742898602,2331.0843326568806,2262.859415781672,焕驰
1.015472370547233,1.0429646721836332,,,猛士917
871.5273115371743,1159.284368107421,28.170657344968426,33.10645058070938,瑞虎5x
3094.033966779762,3401.839130344045,34.51816691397958,30.27430495870609,瑞虎8
1509.266966366851,1860.0926536991121,33.828086753033084,37.31345254522685,瑞虎9
98.6587859999226,124.30915045178021,111.87946105583333,61.278749068274905,瑞风E3
15363.396095466369,15575.387272712745,195.04678645064303,171.64527143750598,秦L
9365.932345969895,12306.065114541389,99.52345629717541,82.19455319782266,秦PLUS
33.807252785558155,41.16508739757056,,,红旗E-HS9
155.13874484310597,197.22068367372347,38.64881768734451,35.04640320250888,红旗H9
898.7795501975047,901.8973043542253,1620.8281655652488,1162.2149356002217,红旗HS7 PHEV
1.6595706679308406,2.0645320411121517,37.66494520839472,38.29778464455786,红旗国耀
422.1878859633596,554.4536280287994,97.84043498559595,82.37812409041162,缤智
6249.291178351464,6676.185672554128,55.47903536761621,56.504388357432724,缤越
1675.353736407272,2082.1412319789933,43.98840699769631,35.61298950770082,腾势D9
585.8000337642912,700.9358279338711,38.83975174884313,41.73355738050044,艾瑞泽5
426.4075774381992,444.39912186402967,3748.48484745175,3366.3756113542045,荣威D5X DMH
1551.548607183784,2472.9145148698294,216.63831985072903,252.28432637134702,荣威D7
289.94598241851406,383.6040852784648,30.195495115485855,31.798133696053455,菱智
1449.5334532006382,1952.0606698483157,87.61539084696034,71.99073519744913,蔚来ET5T
530.2145279785104,603.8450719681401,37.656418497154824,36.24572368543993,赛图斯
2925.8432878627696,3145.6402855077495,40.288562528574474,41.7828388127493,赛那SIENNA
364.51183376618786,378.1209267214566,1884.4008294664036,903.7483481806311,起亚EV5
589.7530092641429,658.1850934506657,57.848423444504526,61.68964532051704,起亚K3
141.70250323559955,154.02508474021016,1449.4424996571488,429.4015249563623,起亚K5凯酷
