MAE,RMSE,MAPE,WMAPE,version,series_name,test_months,actual_volume
1170.9970092773438,1308.2801175424456,97.91134469896832,53.13455385059414,ALL_SENTIMENT,AION S,6,13223.0
662.9220377604166,721.2650181300476,192.90972264967118,116.81445599302495,ALL_SENTIMENT,ID.4 CROZZ,6,3405.0
44.31162643432617,48.46591923174535,7404.581451416016,26586.975860595703,ALL_SENTIMENT,ID.6 CROZZ,6,1.0
6179.787190755208,7011.221147510977,53.98669880724049,52.405867093312295,ALL_SENTIMENT,MG4,6,70753.0
413.8948974609375,448.55585704229253,55.653078579010554,55.86882755378234,ALL_SENTIMENT,MG7,6,4445.0
31.529125650723774,38.76800590549574,,,ALL_SENTIMENT,Model 3,6,0.0
14.982242425282797,19.203822537788465,,,ALL_SENTIMENT,Model Y,6,0.0
426.64124552408856,553.3317365670448,71.3308550271509,51.72453976852963,ALL_SENTIMENT,QQ冰淇淋,6,4949.0
4741.994222005208,5686.109627231241,37.86144174019368,41.31016832481234,ALL_SENTIMENT,RAV4荣放,6,68874.0
817.3441569010416,1132.2779178178046,29.480461463350238,35.689287107242926,ALL_SENTIMENT,T-ROC探歌,6,13741.0
286.5435028076172,344.003503516002,54.411619960562504,45.291386112900504,ALL_SENTIMENT,e爱丽舍,6,3796.0
138.13112131754556,187.33890292356435,56.62753704085145,50.56660939019362,ALL_SENTIMENT,五菱佳辰,6,1639.0
319.65748596191406,350.644565741418,3211.7195428757286,139.18323046237185,ALL_SENTIMENT,五菱星驰,6,1378.0
3.022619813680649,3.517592101990913,,,ALL_SENTIMENT,传祺GA8,6,0.0
741.59228515625,955.9303788812113,31.735180452333704,38.6178936897891,ALL_SENTIMENT,传祺M6,6,11522.0
2759.3578898111978,3076.536499834881,51.67125795570598,56.656448356947465,ALL_SENTIMENT,传祺M8,6,29222.0
2215.1324462890625,2315.0641695863446,61.08869643910174,52.83979914019948,ALL_SENTIMENT,元PLUS,6,25153.0
89.78445943196614,100.66225346030716,32.69933383925917,27.88337249439942,ALL_SENTIMENT,冠道,6,1932.0
126.83200581868489,165.56263396577307,85.68386317212853,49.60834647406189,ALL_SENTIMENT,凌宝BOX,6,1534.0
54.607800801595054,58.407534477991234,913.4209633621515,555.333567473848,ALL_SENTIMENT,凌尚,6,59.0
21.744462966918945,22.854668973625632,350.0301678252942,501.79529923659106,ALL_SENTIMENT,凌放HARRIER,6,26.0
340.0856119791667,437.3764601091458,29.964560733655983,31.883026123046875,ALL_SENTIMENT,凡尔赛C5 X,6,6400.0
5677.951904296875,6370.807400165415,38.17562251444325,39.62237171675283,ALL_SENTIMENT,凯美瑞,6,85981.0
802.8096110026041,1043.0075679923182,26.984530427174402,31.347505310527303,ALL_SENTIMENT,凯迪拉克CT5,6,15366.0
1441.7351888020833,1569.604119436904,38.27604597397657,39.894899842330396,ALL_SENTIMENT,凯迪拉克XT5,6,21683.0
137.0903778076172,145.2233188167522,180.3933831131039,152.8888971832162,ALL_SENTIMENT,凯迪拉克XT6,6,538.0
1326.1954549153645,1446.0293662718768,38.55131035452544,40.48833628195282,ALL_SENTIMENT,别克GL8,6,19653.0
2214.3133138020835,2606.052600273896,39.413797614738435,42.27402279118143,ALL_SENTIMENT,卡罗拉,6,31428.0
1.4132173856099446,1.4910755688809025,,,ALL_SENTIMENT,卡罗拉双擎E+,6,0.0
3351.1143391927085,4120.975551435048,26.328335134859287,29.658941240476523,ALL_SENTIMENT,卡罗拉锐放,6,67793.0
261.6612141927083,293.90610371545165,48.48764914579777,35.983664569247075,ALL_SENTIMENT,吉利ICON,6,4363.0
589.147216796875,933.9566350094358,17.265902364952314,24.860280615945214,ALL_SENTIMENT,君威,6,14219.0
451.4201151529948,483.26842018522944,276.290198852036,135.49378143661676,ALL_SENTIMENT,型格,6,1999.0
701.2138875325521,747.7194498794042,140.15635530706817,107.76852779701107,ALL_SENTIMENT,大众ID.3,6,3904.0
138.4545873006185,147.80252007077036,305.22537373097515,127.60791456278201,ALL_SENTIMENT,大家9,6,651.0
92.84896087646484,96.47706608344978,61.035000417288806,56.84630257742745,ALL_SENTIMENT,大通G10,6,980.0
78.87133026123047,89.25474971379512,37.41841190646553,31.031343053598874,ALL_SENTIMENT,大通G50,6,1525.0
2730.7626953125,3159.882356066009,46.4105489816119,39.96920491760789,ALL_SENTIMENT,奔驰C级,6,40993.0
4179.62451171875,4678.743926922841,39.486526315688934,40.9599788816864,ALL_SENTIMENT,奔驰E级,6,61225.0
913.90576171875,1182.3637283692249,512.0825298048643,90.12877334504438,ALL_SENTIMENT,奔驰GLB,6,6084.0
3351.445556640625,4142.9287297890005,34.50918402303573,38.275259987901386,ALL_SENTIMENT,奔驰GLC,6,52537.0
403.44300333658856,404.6582319657755,154.45670589596912,143.6592296747496,ALL_SENTIMENT,奔驰V级,6,1685.0
195.9471638997396,232.62685781082476,19.674346577225243,20.001411762477673,ALL_SENTIMENT,奥德赛,6,5878.0
2271.6519775390625,2565.6657094805746,37.96161645706026,39.67489045012044,ALL_SENTIMENT,奥迪A3,6,34354.0
1918.7784016927083,2169.9398383812904,18.338804368192836,19.42968357746654,ALL_SENTIMENT,奥迪A6L,6,59253.0
279.21388753255206,285.3755503129676,89.35785578455268,72.0551967825941,ALL_SENTIMENT,奥迪A7L,6,2325.0
923.7745361328125,1094.3169766090834,33.61588031490523,36.82822070961379,ALL_SENTIMENT,奥迪Q3,6,15050.0
193.17543665568033,196.98123346215385,,,ALL_SENTIMENT,奥迪Q5 e-tron,6,0.0
2421.223876953125,2773.188266504487,27.09189174325708,28.283673581603004,ALL_SENTIMENT,奥迪Q5L,6,51363.0
4480.189208984375,5250.879747283374,55.86849070587016,61.83409300923849,ALL_SENTIMENT,威兰达,6,43473.0
407.86253865559894,418.4767365413597,240.98910895102478,166.47450557371386,ALL_SENTIMENT,威朗,6,1470.0
661.0921834309896,674.6156087953004,281.9390301568822,208.54643010441313,ALL_SENTIMENT,威然,6,1902.0
344.5308837890625,348.50801922040006,126.19177887679152,110.66302477164749,ALL_SENTIMENT,威霆,6,1868.0
81.9647445678711,83.72433919339622,2106.19114656297,833.5397752664857,ALL_SENTIMENT,威飒,6,59.0
2767.488077799479,2831.7329804431365,1775.6449783269095,1108.4731953802986,ALL_SENTIMENT,宋PLUS新能源,6,1498.0
7337.445231119792,8148.824559293064,86.87619207539893,60.474280397696056,ALL_SENTIMENT,宏光MINIEV,6,72799.0
4111.389567057292,4322.361031217598,37.53529902186257,37.69150684871004,ALL_SENTIMENT,宝马3系,6,65448.0
1564.0282389322917,1634.951171226086,30.976507143718912,31.14249969665732,ALL_SENTIMENT,宝马X5,6,30133.0
209.59343465169272,245.6830986084361,22.896575730278446,19.819710132547776,ALL_SENTIMENT,宝马i3,6,6345.0
211.80868530273438,266.0446900198627,36.00550425879492,27.400864851582714,ALL_SENTIMENT,宝马iX1,6,4638.0
42.0865592956543,43.74580498126692,307.6111531937785,151.20919507420706,ALL_SENTIMENT,宝马iX3,6,167.0
6.616255541642507,7.335478041936388,,,ALL_SENTIMENT,小虎FEV,6,0.0
3.016211907068888,3.4826622083111882,,,ALL_SENTIMENT,小鹏P5,6,0.0
2369.04296875,2633.7186345499586,43.49066831568327,44.50299878678773,ALL_SENTIMENT,岚图梦想家,6,31940.0
4468.405029296875,5050.3206986289615,31.29272627057329,33.49628957493909,ALL_SENTIMENT,帕萨特,6,80040.0
1235.987813313802,1285.49522005575,2503.4377797720385,211.88362513950892,ALL_SENTIMENT,帕萨特新能源,6,3500.0
379.4779052734375,509.55116438592023,23.287722794341192,27.428833051928986,ALL_SENTIMENT,库斯途,6,8301.0
17.345199902852375,17.423590204754,1447.827959060669,1734.5199902852376,ALL_SENTIMENT,护卫舰07,6,6.0
1211.445780436198,1349.3997975825523,53.58007092314425,51.92281364824049,ALL_SENTIMENT,捷达VA3,6,13999.0
4825.446207682292,5448.8301507122405,36.17755447895281,39.40801868283732,ALL_SENTIMENT,探岳,6,73469.0
26.41902748743693,35.761220477305926,2145.0335710476606,720.5189314755527,ALL_SENTIMENT,探界者,6,22.0
133.75643920898438,152.38262036639716,28.90090589613707,25.821706411000843,ALL_SENTIMENT,揽境,6,3108.0
4602.390543619792,5237.492948191786,46.67501275843392,48.843822098695966,ALL_SENTIMENT,新帝豪,6,56536.0
5709.4181722005205,6366.007560727473,50.433096092168014,52.17495321626502,ALL_SENTIMENT,星瑞,6,65657.0
8014.158854166667,9038.153181024976,60.05852842190711,62.242671091464516,ALL_SENTIMENT,星越L,6,77254.0
296.6311747233073,311.9694674722627,815.7299670109489,218.64705753560733,ALL_SENTIMENT,星途ES,6,814.0
52.562068939208984,56.56663247728251,188.87888691328024,141.42260701132463,ALL_SENTIMENT,智跑,6,223.0
7467.568929036458,7771.495304778183,44.48928330966598,44.59803272206116,ALL_SENTIMENT,朗逸,6,100465.0
1247.7368774414062,1280.5057392294732,60.82064624912863,61.59128971327385,ALL_SENTIMENT,本田HR-V,6,12155.0
148.17601521809897,191.1919334340626,111.28841671779381,49.03784287416402,ALL_SENTIMENT,本田XR-V,6,1813.0
