comparator,candidate,point_comparator_WMAPE,point_candidate_WMAPE,point_improvement_pp,bootstrap_mean_improvement_pp,bootstrap_ci_2_5_pp,bootstrap_ci_97_5_pp,bootstrap_probability_candidate_better,bootstrap_replicates,cluster_unit
BASE,ALL_SENTIMENT_FIXED,40.44001904314165,40.04494848379036,0.3950705593512964,0.4187042628898573,-2.145866705989954,3.7072026331966828,0.5786,5000,series_name
BASE,DEEPSEEK_CORE_FIXED,40.44001904314165,39.225233663754736,1.2147853793869174,1.2486803623073934,-1.1100626765207235,4.515984107038011,0.7956,5000,series_name
BASE,DEEPSEEK_RICH_FIXED,40.44001904314165,38.70519249287119,1.734826550270462,1.7785381135410703,-0.7835501008823733,5.019986642408614,0.8984,5000,series_name
BASE,LOCAL_LEXICON_FIXED,40.44001904314165,39.53675890038878,0.9032601427528704,0.9333309087090172,-0.5830563243272492,2.5673630426618574,0.8836,5000,series_name
BASE,PLATFORM_RATING_FIXED,40.44001904314165,38.81859364971012,1.6214253934315366,1.6556689338152348,-0.1038700682314928,3.4742683139374915,0.9692,5000,series_name
BASE,DEEPSEEK_CORE_ROLLING,40.44001904314165,39.0734940249141,1.3665250182275557,1.3989271554038025,-0.9480393270828654,4.704982228601241,0.837,5000,series_name
PLATFORM_RATING_FIXED,DEEPSEEK_RICH_FIXED,38.81859364971012,38.70519249287119,0.11340115683892549,0.12286917972583526,-1.4897470033820104,2.114285757407519,0.5222,5000,series_name
DEEPSEEK_CORE_FIXED,DEEPSEEK_CORE_ROLLING,39.225233663754736,39.0734940249141,0.15173963884063824,0.1502467930964089,-0.2914552435318889,0.5632105206932524,0.7604,5000,series_name
