MAE,RMSE,MAPE,WMAPE,series_name,status
8444.642694451702,8656.551360391335,67.94636713993137,53.26226089490083,轩逸,ok
6568.374788232072,7582.804037814044,46.07747136038715,39.227839276755525,朗逸,ok
12916.517975211284,14009.281793586835,118.46303990655048,91.616256872797,速腾,ok
7350.120937527498,8595.327961609008,91.38881163846662,75.21357169076813,逸动,ok
1225.6031960875782,1565.6730277187723,23.517517923080124,23.39830462175598,卡罗拉,ok
3376.3314112820244,4260.07177079583,32.343329743541354,35.832015826539106,新帝豪,ok
1650.1889547692763,1975.3731042679167,46.57012339888502,37.282576076423005,宝来,ok
2924.128373354188,3253.5834842066174,171.74233999212632,146.6218472348749,思域,ok
3562.191702177979,4132.680513062886,28.677374848349046,24.857992129735493,凯美瑞,ok
7149.549818289007,8108.552155356621,67.43879860083752,53.594826224055524,帕萨特,ok
9387.163768292694,10290.224091330072,84.51365225154106,73.36014198415673,迈腾,ok
6475.641881283454,7081.771553656673,149.53180867444934,96.17051876859662,雅阁,ok
3286.604342977987,3523.4775292435415,32.60830511888212,30.13021949924814,宝马3系,ok
1491.5426290678472,1678.0294303310848,12.329042735695095,12.265639338843622,长安CS75 PLUS,ok
5846.644925001389,6006.17452843559,52.69699079389184,45.4084831206259,星越L,ok
6108.213346260843,6644.199709849119,51.8378563662609,46.612756855408655,锋兰达,ok
7768.202814037163,8298.377776375262,88.05923697580282,68.75225596185886,卡罗拉锐放,ok
5326.941059930745,5546.654450229706,85.21072839834788,73.52068262964247,威兰达,ok
861.7053336742816,1154.9455310904623,74.96653287457328,36.93286664794407,捷达VA3,ok
1240.4464560873134,1411.5330442519628,264.5228027460249,207.72198539000505,马自达3 昂克赛拉,ok
365.5693752727481,394.04039399883953,49.56733331231085,41.283949776707864,奕炫,ok
711.2252791314928,781.3399952917441,48.35928172260599,50.669100864271634,艾瑞泽5,ok
3630.125862370667,3689.4978392460634,429.4229078747428,357.0615602331804,eπ007,ok
,,,,宝马i5,too_short
231.57163286565765,289.60918007411584,22.306492752792387,25.340685704795657,林肯Z,ok
2058.569468944535,2174.3052069351133,55.27695098034857,56.963597351230035,凯迪拉克XT5,ok
1076.0397246002478,1294.3438054211892,26.122613573505266,26.60281984260368,瑞虎9,ok
1130.222886594569,1365.4047736805803,73.33387304535592,63.98091630877831,锐界L,ok
1377.9730997078632,1422.6673362267024,149.89640654323713,130.30478484235113,宝马i3,ok
342.18319457145185,359.29393703546236,582.4808375585051,476.35711541269404,海豹,ok
3014.1243839731305,3029.137790884756,160.44209492615045,149.69577273271074,蔚来ET5T,ok
334.20817609173395,383.913467503773,31.83755581267491,34.959014235537026,起亚K3,ok
373.40353433263135,438.67203712882537,15.032618524386129,14.886519641168029,奥迪Q3,ok
876.9806951803695,1129.8033376039555,29.914069297670487,35.63272276753719,奇骏,ok
343.81338207999323,418.52957632383954,20.048694719062595,20.27400778850083,途胜L,ok
71.52715421611792,80.67842635035775,2316.081774724301,128.87775534435661,铂智4X,ok
168.3688369535735,208.52098703599916,186.52969860996464,55.720519675755156,本田XR-V,ok
207.55173545855837,256.29407847051294,39.1246757213495,40.49789960166992,缤智,ok
1075.797010777047,1213.380878870966,47.0919183368434,40.86598331536741,瑞虎5x,ok
8952.92189422737,9779.406813003918,74.37690260071108,64.87154477376545,途观L,ok
9590.876354694876,10404.699963453933,119.22280686961344,93.84419133752324,瑞虎8,ok
4445.750949572862,5513.446991846118,49.008916125818196,36.307157709288504,探岳,ok
789.5732394853012,797.4321701222733,285.565040245414,253.61024822868345,威霆,ok
0.0,0.0,,,小鹏P5,ok
808.9242113795076,949.4523143897043,76.27574598239781,55.29845355220514,赛图斯,ok
11784.92634419101,12383.339130666918,99.94318881614532,99.93860057544707,MG4,ok
