model,WMAPE_mean,WMAPE_med,WMAPE_vol,MAPE,RMSE,MAE,n_series
Prophet+XGBoost,544.628157347314,48.398726243382605,35.53138029056236,921.7692897744364,1378.5844797233706,1162.4568761725825,150
XGBoost,270.8119934346308,44.71245486603792,38.428134960868334,433.00591196404366,1467.035784870382,1257.228099737366,150
LSTM,191.23536811560766,45.19993352900278,41.314085993046575,587.2284048551032,1570.695664700789,1351.6458677559092,150
ARIMA,262.7064376168053,66.66999166369754,62.55695214246002,672.397162370793,2254.7692954986087,2046.6347936873487,150
Prophet+exog,1002.1199682619273,73.52384592014033,62.568140049880775,1694.6633145019666,2387.0302047932387,2047.0008211201382,150
Prophet,983.8515948617361,73.6533067173811,62.65865780727459,1675.5882849215934,2391.785393299012,2049.9622312493734,150
