model,horizon,mean_wmape,std_wmape,n_series
ARIMA,3,119.30183434280971,857.4005566561443,136
XGBoost,3,61.3376681355953,129.76265305109516,136
ARIMA,6,579.4516107248057,5326.832764638946,129
XGBoost,6,170.62905619198784,1185.0702110132506,129
ARIMA,9,76.7960947212012,118.8151226962985,115
XGBoost,9,166.82365084907633,1032.0071977861874,115
ARIMA,12,68.60761741085881,62.68506399008415,114
XGBoost,12,293.82603326594517,2448.5681663117184,114
