MAE,RMSE,MAPE,WMAPE,series_name,order,status
11855.731798689478,13947.703964086688,110.75087240589842,74.77676711847792,轩逸,"(0, 1, 2)",ok
8504.833333333334,9343.704770236125,58.46461933474506,50.792813417608116,朗逸,"(0, 1, 0)",ok
7502.523986606455,8060.528211806063,67.83707518315407,53.21505115158672,速腾,"(1, 1, 1)",ok
3863.6226060667104,4486.040421741316,48.0235950356068,39.536336658594436,逸动,"(0, 1, 1)",ok
3179.0,3571.8145715215023,76.3117440945551,60.69110347460863,卡罗拉,"(0, 1, 0)",ok
2870.611392744028,3640.109315943123,31.48332889505234,30.464957472166702,新帝豪,"(0, 1, 1)",ok
3623.8352079655383,3808.7301117698953,94.70200721669983,81.87299487063008,宝来,"(1, 1, 0)",ok
6188.324084099485,6378.546164484808,350.07723465174706,310.2953744325331,思域,"(1, 1, 1)",ok
4652.833333333333,5483.633877275178,38.21133819269121,32.46880124678708,凯美瑞,"(0, 1, 0)",ok
5372.599566410595,6039.341306946557,50.72506369732478,40.27435956829532,帕萨特,"(1, 1, 0)",ok
4586.666666666667,4932.256245032963,41.897718972436465,35.84453475044285,迈腾,"(0, 1, 0)",ok
8369.565615925983,9171.391998831929,193.46649455530027,124.29740277605974,雅阁,"(0, 1, 2)",ok
3891.4692748755056,4187.793503088272,38.650107827391516,35.67536922328113,宝马3系,"(1, 1, 1)",ok
3679.360991784177,3814.4838495385975,32.86507272858262,30.2570734775706,长安CS75 PLUS,"(2, 1, 1)",ok
6844.962272077602,7045.534859988269,62.58386280684315,53.162002786218984,星越L,"(0, 1, 2)",ok
2366.603174393721,3040.4311301038338,16.364781991295647,18.05992883480105,锋兰达,"(1, 1, 0)",ok
5912.550380275697,6227.008998406592,63.93049874698171,52.32885737709524,卡罗拉锐放,"(2, 1, 0)",ok
2474.3377565357605,2881.9844708342443,44.016970213315695,34.14999318936941,威兰达,"(1, 1, 0)",ok
1277.7252048485032,1531.9143042655646,103.59365568809726,54.76356331945866,捷达VA3,"(1, 1, 1)",ok
2139.2308197460466,2206.5354089933758,422.4503223333929,358.230112153957,马自达3 昂克赛拉,"(1, 1, 2)",ok
1335.2376262810076,1369.7569499622452,177.41233227628854,150.78911646312903,奕炫,"(0, 1, 1)",ok
319.533442625483,445.8005711573672,19.040860420309425,22.764196814923984,艾瑞泽5,"(2, 1, 1)",ok
1329.3333333333333,1396.2552297723603,176.3968745654459,130.75409836065575,eπ007,"(0, 1, 0)",ok
,,,,宝马i5,,too_short
232.83333333333334,276.099921526006,23.214551576355205,25.478752507751228,林肯Z,"(0, 1, 0)",ok
763.1874507255989,958.0264173956294,19.67878988970945,21.118501611186613,凯迪拉克XT5,"(0, 1, 1)",ok
871.8333333333334,1231.7948286951037,18.320570125845112,21.554246157649676,瑞虎9,"(0, 1, 0)",ok
881.1592580322571,937.0348066052962,55.4295523513728,49.88164494946261,锐界L,"(0, 1, 2)",ok
1205.8971142956316,1230.5208159779127,130.3071442413703,114.03282404686823,宝马i3,"(0, 1, 2)",ok
838.1666666666666,838.6458330745663,1342.7316823832923,1166.8213457076567,海豹,"(0, 1, 0)",ok
3089.5,3121.334356756204,167.38511479379966,153.43928482741495,蔚来ET5T,"(0, 1, 0)",ok
482.52562066079093,527.7968130231836,47.949929921159054,50.4733912825095,起亚K3,"(2, 1, 2)",ok
418.6666666666667,569.206506686236,21.077864185499752,16.69102990033223,奥迪Q3,"(0, 1, 1)",ok
712.5,857.2118001825596,25.926680885369198,28.94968510868829,奇骏,"(0, 1, 1)",ok
466.7705982839652,523.0765052086055,31.9833358955031,27.524556164165027,途胜L,"(0, 1, 1)",ok
58.5,73.28824371389089,2306.7622487661824,105.40540540540539,铂智4X,"(0, 1, 0)",ok
145.5,180.56993105165654,149.63782910154927,48.15223386651958,本田XR-V,"(0, 1, 0)",ok
156.5,241.63781436963325,23.87802607852611,30.536585365853657,缤智,"(0, 1, 0)",ok
2665.5,2769.9420270708433,118.02037204472349,101.25356125356126,瑞虎5x,"(0, 1, 0)",ok
6431.666666666667,6968.91961975934,54.61901676095627,46.60290317126778,途观L,"(0, 1, 0)",ok
5824.223282068648,6736.317267427487,75.86752460007261,56.98848612591632,瑞虎8,"(1, 1, 1)",ok
4747.23891073446,5805.340566377777,51.23904560640374,38.76932238686624,探岳,"(2, 1, 2)",ok
655.2209114599816,659.0533602852944,237.22807586088553,210.45639554389132,威霆,"(0, 1, 1)",ok
0.662538700312219,0.662538700312219,,,小鹏P5,"(0, 1, 1)",ok
440.5,486.0718396835321,35.91550550306402,30.112794804602938,赛图斯,"(0, 1, 0)",ok
11213.775151702588,11810.813350738848,94.3741834937036,95.09512092803914,MG4,"(2, 1, 1)",ok
1739.5203280575863,1759.614248936086,18944.079126830486,1225.0143155335115,北京EU5,"(0, 1, 1)",ok
2132.194442660991,2143.4168817556433,532.461671029252,375.7170824072231,ID.4 CROZZ,"(1, 1, 1)",ok
271.21077469917003,273.7613638060053,179.06788282680196,164.37016648434548,本田UR-V,"(0, 1, 1)",ok
13977.833333333334,14783.786067851495,167.93898981630483,115.20350554265855,宏光MINIEV,"(0, 1, 0)",ok
12156.26208941427,12176.89277544123,727.3868396869408,616.7560674487199,长安Lumin,"(1, 1, 0)",ok
0.0031414422867735623,0.0031414422867735623,,,享域,"(0, 1, 1)",ok
1392.5934048961244,1450.1791322192014,32.69242784810183,30.78234758833166,君越,"(0, 1, 2)",ok
623.8946608398281,1070.5497800860517,685.195634958702,106.95337042968482,帕萨特新能源,"(0, 1, 1)",ok
841.0,841.0,,,iCAR 03,"(0, 1, 0)",ok
76.10935812893582,86.73404835736103,80.54132979528568,47.27289324778622,瑞风E3,"(0, 1, 2)",ok
,,,,长安欧尚520,,too_short
108.32924632346307,122.33425432406324,265.58440160670756,99.84262333959731,大家9,"(1, 1, 1)",ok
1923.6666666666667,2331.0336762904135,45.14653008558967,36.13650594865373,岚图梦想家,"(0, 1, 0)",ok
370.7047378728492,371.7955848300002,1855.6603880298956,919.1026558830972,起亚EV5,"(2, 1, 0)",ok
2202.257148941164,2256.4983676918087,131.3206846033414,114.52195262304545,途昂,"(0, 1, 1)",ok
,,,,红旗天工05,,too_short
2112.0,2112.0,,,长安启源Q05经典,"(0, 1, 0)",ok
418.0017538580143,419.6475812816533,3552.86539687175,3300.0138462474806,荣威D5X DMH,"(0, 1, 2)",ok
140.22087985755664,140.57394508555353,331.3949927461371,310.4521325259557,风光380,"(0, 1, 1)",ok
29.66049885711024,29.860242486314927,425.1661533688583,306.83274679769215,风光330,"(0, 1, 1)",ok
,,,,海狮06EV,,too_short
276.3333333333333,297.90322813513336,159.4767903116053,108.08344198174706,凌宝BOX,"(0, 1, 0)",ok
27223.166666666668,27450.412938606223,284.784143157777,238.90798461290936,秦PLUS,"(0, 1, 0)",ok
80.97974199412829,84.1563808604382,117.8564330437965,110.67846286213434,嘉华,"(1, 1, 1)",ok
21523.833333333332,21733.882790856,275.04230248335284,234.35804373468835,海鸥,"(0, 1, 0)",ok
,,,,深蓝L06,,too_short
4572.516111944346,4867.718003130334,53.57694795854203,46.30161624165203,奥迪A6L,"(0, 1, 1)",ok
60.88061342529837,65.52094402985769,54.10196350217483,44.87514503093246,标致5008,"(0, 1, 1)",ok
7105.093793348482,7107.780952046787,1753.284823103361,1436.8238206973674,海豹07DM-i,"(0, 1, 1)",ok
26077.347102067182,26077.801988588693,19717.4843507075,10444.86532793078,宋PLUS新能源,"(1, 1, 0)",ok
27127.385590855698,27189.37772192217,338.2816059784819,303.0767047987751,秦L,"(1, 1, 0)",ok
2818.9541133664993,3194.437159420753,342.2050271710558,127.91140195265065,AION S,"(0, 1, 1)",ok
312.1666666666667,343.5396629211829,16.310605439491493,16.373808899379316,奕跑,"(0, 1, 0)",ok
592.6666666666666,593.7855954242518,1105.7563693336606,766.3793103448276,红旗HS7 PHEV,"(0, 1, 0)",ok
868.1883908434949,877.4384289697083,402.3518888462494,341.58231770891604,大通G50,"(1, 1, 1)",ok
29.511446758596048,29.511446758596044,,,红旗E-HS9,"(0, 1, 1)",ok
70.30493508844252,70.30592284209776,6947.160175510918,42182.96105306551,ID.6 CROZZ,"(0, 1, 1)",ok
3.29869168527548,4.316107695400471,,,小虎FEV,"(1, 1, 2)",ok
0.11956834032069448,0.1252921916060071,,,启辰T60,"(0, 1, 2)",ok
175.66666666666666,207.66800427605597,59.62811862251112,42.465753424657535,星海V9,"(0, 1, 0)",ok
,,,,纳米01,,too_short
906.4257184438644,1011.6067699093271,183.3823196422556,94.2393746432713,沃尔沃S90,"(0, 1, 1)",ok
3826.8762807419093,4224.821524772007,53.45907237458595,44.70388739842193,奥迪Q5L,"(2, 1, 2)",ok
85.46770971412644,147.2144952604419,356.2140591586105,101.34511033295625,途观L新能源,"(2, 1, 0)",ok
191.6966741233273,211.07393300410294,486.00118104916106,151.93923972786843,IQ锐歌,"(0, 1, 2)",ok
3564.7894704717496,3565.6690266457063,,,Model 3,"(1, 1, 2)",ok
1412.0,1500.8179991813354,95.70146164805617,96.38225255972696,小鹏P7,"(0, 1, 0)",ok
368.88628804546494,373.35490937372344,85.92466734845911,83.33274579340323,红旗H9,"(2, 1, 0)",ok
6644.5,7000.043226057012,298.82112619761807,153.18731988472624,奔腾小马,"(0, 1, 0)",ok
1961.6549611250841,2178.114422271395,76.01120922711947,59.88871809266018,别克GL8,"(0, 1, 1)",ok
965.148154763765,979.8054027767795,407.1907258635507,304.4631403040268,威然,"(0, 1, 1)",ok
8729.629653384405,8898.769042061938,280.9364193531083,208.23670305850763,元PLUS,"(2, 1, 0)",ok
,,,,深蓝L07,,too_short
219.85530235467715,220.707819726911,1559.3074632683943,928.9660662873682,沃尔沃S90新能源,"(1, 1, 1)",ok
225.45135428631446,225.45135428631448,,,海马8S,"(0, 1, 1)",ok
186.3905658984343,190.69402467813214,240.76305388901838,207.8705195893319,凯迪拉克XT6,"(1, 1, 1)",ok
2118.8872099725263,2138.347546777038,239.50112142273125,216.28654746231976,奥德赛,"(0, 1, 1)",ok
92.4824279638732,99.30256533490461,1004.4009916601732,280.24978170870673,起亚K5凯酷,"(0, 1, 1)",ok
,,,,奥迪E5 Sportback,,too_short
15169.0,18608.171896597833,2627.2614443871203,113.0664877757901,小米SU7,"(0, 1, 0)",ok
2.5916276597108255e-93,2.6653835715121348e-93,,,Model Y,"(1, 1, 0)",ok
2944.1666666666665,2944.4364203244963,1931.974588679327,1808.0859774820879,海狮07EV,"(0, 1, 0)",ok
,,,,AION UT,,too_short
,,,,电动MINI ACEMAN,,too_short
,,,,博越REV,,too_short
,,,,银河V900,,too_short
18786.05663890846,19053.15978030284,694.4907899385054,652.3313839542263,汉,"(2, 1, 2)",ok
689.975842119083,749.2007850320113,44.97800146192546,35.93000392913121,传祺M6,"(0, 1, 1)",ok
,,,,银河星耀6,,too_short
2569.588210890599,2826.422535034637,25.12124878459411,23.233516577018328,缤越,"(0, 1, 1)",ok
,,,,理想MEGA,,too_short
433.43730500007536,444.22711511342897,90.90020295551001,82.87520172085571,欧诺S,"(1, 1, 0)",ok
14.429441418624828,14.575012928836392,973.0738723527666,865.7664851174897,焕驰,"(0, 1, 1)",ok
,,,,日产NX8,,too_short
0.0,0.0,,,猛士917,"(0, 0, 0)",ok
2327.5,2339.188997637144,15344.465076837341,886.6666666666667,深蓝SL03,"(0, 1, 0)",ok
1042.1541737411317,1062.3471630104143,125.64262571659084,114.2921777087697,菱智,"(1, 1, 1)",ok
0.15804005422073344,0.16177923787517062,,,传祺GA8,"(1, 1, 2)",ok
382.5845755592141,628.6094493078139,749.6555292479924,98.77398680530484,星瑞L,"(0, 1, 1)",ok
,,,,风云A9L,,too_short
1.1807182719124518,2.0055937549891554,19.889183654043183,27.2473447364412,红旗国耀,"(0, 1, 2)",ok
,,,,大通G70,,too_short
2092.3333333333335,2094.9087490071415,4726.218673721033,1542.2604422604422,星途ES,"(0, 1, 0)",ok
,,,,长安UNI-Z新能源,,too_short
,,,,电动MINI COOPER,,too_short
646.3333333333334,1011.6264132573842,22.253309078355276,29.105373761633142,小鹏X9,"(0, 1, 0)",ok
923.8316260616975,1328.7728176090407,966.460268637189,110.63851809122127,星越L 智擎,"(0, 1, 2)",ok
1173.7967519072092,1187.6658987316832,623.8076079973812,429.6998481661535,五菱佳辰,"(0, 1, 1)",ok
1114.1666666666667,1380.0907614321961,17.761472591716622,15.91098417231941,赛那SIENNA,"(0, 1, 1)",ok
606.1839407059516,608.4154734016665,310.35972409404616,271.83136354526977,PATHFINDER探陆,"(2, 1, 0)",ok
8.666666666666666,10.816653826391969,85.76411170528817,44.827586206896555,沃尔沃EM90,"(0, 1, 0)",ok
56.24416728037377,56.254246147785985,4673.829039296666,5624.416728037378,护卫舰07,"(1, 1, 0)",ok
801.0676459643897,907.0986108798609,104.7876741657241,67.8296059241651,极氪009,"(2, 1, 1)",ok
3462.1666666666665,3515.8405585767587,280.6762263913361,223.2455668995164,长安启源A07,"(0, 1, 0)",ok
2842.8333333333335,3111.97512307966,131.26281059812607,94.40969723805834,格瑞维亚,"(0, 1, 0)",ok
1639.6070887937415,1644.6479315346558,3088.9491801878717,1287.6495461730954,极狐考拉,"(1, 1, 0)",ok
5.002937970381457e-186,0.0,,,卡罗拉双擎E+,"(1, 1, 0)",ok
,,,,夏,,too_short
3567.6666666666665,3860.302319767197,94.6655226756929,75.83787996882307,腾势D9,"(0, 1, 0)",ok
1404.5717084376531,1579.3946126386763,30.752332529344994,27.96744516186878,宝马X5,"(0, 1, 1)",ok
26.041253045046016,28.378860635503386,1764.034580540606,2232.107403861087,长安UNI-K 智电iDD,"(0, 1, 2)",ok
1278.0,1302.7442829145966,302.6308025304431,207.8048780487805,荣威D7,"(0, 1, 0)",ok
5167.333333333333,6483.735831550614,73.43152877216062,37.503326478771015,元UP,"(0, 1, 0)",ok
,,,,蔚来ET9,,too_short
