MAE,RMSE,MAPE,WMAPE,series_name,status
245.0,281.91606315828597,100.0,100.0,威朗,ok
927.9512553690629,1587.1298656524832,642.7292087311307,278.524638930184,型格,ok
3830.9426992854983,4158.069633927573,486.7000973230746,91.14420157703711,荣威i5,ok
1133.7840850489576,1291.7505611984793,19.060424218620362,19.801782937339894,奥迪A3,ok
1536.3349428940164,1950.1644923009137,42.24911543286001,39.80142339103669,领克03,ok
613.2207587628742,836.9620038546067,47.41556891537845,49.07074623335884,高尔夫,ok
850.2632130039168,1039.948276679145,49.30825252457367,36.44245501838346,捷达VA3,ok
484.97122453848596,506.2490013721306,88.26407509119448,81.21203871702248,马自达3 昂克赛拉,ok
8657.445753080183,9398.950434738195,69.61328976465256,54.604457650643965,轩逸,ok
2367.0156196530356,3653.946209879874,16.283699398307512,14.13635964556633,朗逸,ok
6283.42646849659,7719.689921302442,61.820899737437266,44.56804956907891,速腾,ok
4661.137244066289,4986.445055042184,52.5149121269074,47.697280527335224,逸动,ok
2213.818199819423,2845.586050071542,43.839458418119534,42.26457044328796,卡罗拉,ok
2869.3816139268006,3162.0262217244976,32.55486901026294,26.221560052333803,星瑞,ok
3346.5322585913614,4780.844184193423,29.736596270308542,35.51576615174078,新帝豪,ok
3641.0993965310577,4306.516201330511,24.506230219154087,25.408632580670552,凯美瑞,ok
6228.240994823976,7252.892840956144,59.38664227849547,46.68846322956503,帕萨特,ok
5577.966863008846,6567.4987700942065,49.394878047325335,43.59148845739955,迈腾,ok
4832.233434521355,7400.293378573462,88.6067540513448,71.76406674866496,雅阁,ok
2900.1678856303456,3565.9018409137543,27.73860713964997,26.58753103804864,宝马3系,ok
3785.170975328449,4353.617192848704,71.7351205412592,55.402204893446914,奔驰C级,ok
2815.439745430954,3501.4561044881725,21.775243973309646,23.1526527131736,长安CS75 PLUS,ok
9870.831330069957,10404.422514229329,91.70295488635972,76.66268151865243,星越L,ok
3478.487154801582,4148.030459291912,30.618498736349387,26.544894027102693,锋兰达,ok
6674.646457448495,7035.249396402342,72.61719713127212,59.07376682650269,卡罗拉锐放,ok
