MAE,RMSE,MAPE,WMAPE,series_name,status
1309.6558634440105,1438.8982640600082,93.0724565377082,59.42626620785043,AION S,ok
508.28594970703125,603.5313179193073,30.322558352543393,25.899921004179937,AION UT,ok
295.1892496744792,332.5705709207664,95.74702337862267,52.0157268148862,ID.4 CROZZ,ok
93.30712000528972,96.81745390145137,12926.600646972656,55984.27200317383,ID.6 CROZZ,ok
183.1204630533854,204.45328162205192,459.82366416516874,145.1417144412566,IQ锐歌,ok
11780.856590429941,12380.749027689115,99.87833717585741,99.90408822605352,MG4,ok
48.52642409006754,53.1439592174273,,,Model 3,ok
5.996557156244914,6.058823062447295,,,Model Y,ok
574.1598714192709,582.6180452416087,298.897329522045,257.4707943584174,PATHFINDER探陆,ok
314.01157633463544,407.0124757762185,35.684754647702924,30.886384557505124,eπ007,ok
604.4282735188802,608.9443207334059,,,iCAR 03,ok
539.359141031901,580.1956144426618,312.72571605101905,197.44690946866422,五菱佳辰,ok
2.1207938392957053,2.2303850143970854,,,享域,ok
2.7492454648017883,3.036757471171335,,,传祺GA8,ok
1003.4393717447916,1205.1292931407468,46.131603097413006,52.25339550832104,传祺M6,ok
2147.6893310546875,2381.8591856655394,70.81032705186875,51.23101016311424,元PLUS,ok
9466.8251953125,11213.969378275715,57.84669228344232,68.70805754430265,元UP,ok
104.87496948242188,131.10518317036326,67.40612864011646,41.02019666848313,凌宝BOX,ok
8504.510172526041,8942.337784357127,58.12362448484648,59.3469034265201,凯美瑞,ok
2143.824422200521,2253.4732505136744,57.81499859074367,59.32272532953523,凯迪拉克XT5,ok
223.28703816731772,229.96448120621747,285.11204006660375,249.01900167358852,凯迪拉克XT6,ok
1983.5890299479167,2158.6860341504193,57.464725528300406,60.55835841697197,别克GL8,ok
670.8926900227865,713.4801054641431,7527.207914973011,472.45964086111724,北京EU5,ok
,,,,博越REV,no_train
2123.2688802083335,2590.433278946727,36.8290932758256,40.53587018343515,卡罗拉,ok
1.3295973141988118,1.3418270988457948,,,卡罗拉双擎E+,ok
5525.055501302083,6653.902507215433,44.13713852344942,48.89934507664877,卡罗拉锐放,ok
2599.6272583007812,2887.838152677454,54.75635174837531,57.4630251613789,君越,ok
1.2712244192759197,1.2861551083837242,,,启辰T60,ok
119.12120310465495,125.85264517338643,172.67217372135838,162.80802246649878,嘉华,ok
361.37811279296875,374.66923162588404,55.22042872143425,52.87170633401153,夏,ok
161.57599894205728,164.1491278541916,302.45975535325744,148.917971375168,大家9,ok
220.665283203125,233.3205990335044,108.24772485620122,86.81912781762296,大通G50,ok
83.09424273173015,85.84827449843645,615.548619070238,566.5516549890691,大通G70,ok
1643.4948120117188,1794.7643417620604,63.898091983795716,66.77706285684508,奇骏,ok
3089.0131022135415,3258.830792963823,102.04509096998457,71.21644039685398,奔腾小马,ok
277.63682047526044,293.28380646430395,33.910903878848,31.353678201610435,奕炫,ok
1044.9437764485676,1091.23844870634,53.5046831954227,54.80953456326083,奕跑,ok
202.69392903645834,274.4634950960759,18.628098104699006,20.69009142937649,奥德赛,ok
4803.197347005208,5263.311961954443,46.895050052136675,48.63751047547171,奥迪A6L,ok
717.6290957132975,1096.7696966492479,77.317646476726,87.46241264025564,奥迪E5 Sportback,ok
1178.7979939778645,1270.704248593604,44.87358180133897,46.9952688629049,奥迪Q3,ok
4310.791666666667,4764.809416174945,48.46165680577598,50.35677433171738,奥迪Q5L,ok
3697.6621907552085,4543.721573699128,44.3384575249266,51.03391333593552,威兰达,ok
452.5906066894531,479.99062116021605,203.66380559877592,142.7730620471461,威然,ok
493.5995686848958,496.5937448020856,174.91366085959402,158.54375867823208,威霆,ok
9451.042236328125,9546.857527673887,6615.469130379926,3785.464180104723,宋PLUS新能源,ok
7440.039957682292,8479.840218444922,57.541065089297916,61.319852945911,宏光MINIEV,ok
