series_name,aspect,aspect_zh,mentioned_reviews,scored_mentions,mean_polarity,negative_rate_among_scored,positive_rate_among_scored,brand,category
ID.4 X,power,动力,130,129,0.6589147286821705,0.06201550387596899,0.7209302325581395,大众,SUV
ID.4 X,space,空间,152,146,0.8424657534246576,0.03424657534246575,0.8767123287671232,大众,SUV
ID.4 X,value,性价比,128,127,0.4330708661417323,0.11811023622047244,0.5511811023622047,大众,SUV
ID.6 CROZZ,appearance,外观,10,9,1.0,0.0,1.0,大众,SUV
ID.6 CROZZ,comfort,舒适性,10,7,0.42857142857142855,0.2857142857142857,0.7142857142857143,大众,SUV
ID.6 CROZZ,configuration,配置,10,9,1.0,0.0,1.0,大众,SUV
ID.6 CROZZ,control,操控,9,9,1.0,0.0,1.0,大众,SUV
ID.6 CROZZ,fuel_consumption,能耗/油耗,10,10,0.9,0.0,0.9,大众,SUV
ID.6 CROZZ,intelligence,智能化,10,10,0.0,0.5,0.5,大众,SUV
ID.6 CROZZ,interior,内饰,10,9,1.0,0.0,1.0,大众,SUV
ID.6 CROZZ,power,动力,8,8,1.0,0.0,1.0,大众,SUV
ID.6 CROZZ,space,空间,10,10,1.0,0.0,1.0,大众,SUV
ID.6 CROZZ,value,性价比,9,9,1.0,0.0,1.0,大众,SUV
IQ傲歌,appearance,外观,21,21,1.0,0.0,1.0,凯迪拉克,SUV
IQ傲歌,comfort,舒适性,14,14,0.5714285714285714,0.14285714285714285,0.7142857142857143,凯迪拉克,SUV
IQ傲歌,configuration,配置,14,14,0.5,0.21428571428571427,0.7142857142857143,凯迪拉克,SUV
IQ傲歌,control,操控,16,16,0.8125,0.0625,0.875,凯迪拉克,SUV
IQ傲歌,fuel_consumption,能耗/油耗,20,20,0.3,0.2,0.5,凯迪拉克,SUV
IQ傲歌,intelligence,智能化,22,22,-0.7272727272727273,0.8636363636363636,0.13636363636363635,凯迪拉克,SUV
IQ傲歌,interior,内饰,19,19,0.8421052631578947,0.0,0.8421052631578947,凯迪拉克,SUV
IQ傲歌,power,动力,13,13,0.38461538461538464,0.23076923076923078,0.6153846153846154,凯迪拉克,SUV
IQ傲歌,space,空间,18,18,0.1111111111111111,0.2222222222222222,0.3333333333333333,凯迪拉克,SUV
IQ傲歌,value,性价比,14,14,0.6428571428571429,0.0,0.6428571428571429,凯迪拉克,SUV
IQ锐歌,appearance,外观,85,85,0.9647058823529412,0.0,0.9647058823529412,凯迪拉克,SUV
IQ锐歌,comfort,舒适性,60,60,0.65,0.1,0.75,凯迪拉克,SUV
IQ锐歌,configuration,配置,68,68,0.5588235294117647,0.16176470588235295,0.7205882352941176,凯迪拉克,SUV
IQ锐歌,control,操控,68,68,0.7794117647058824,0.014705882352941176,0.7941176470588235,凯迪拉克,SUV
IQ锐歌,fuel_consumption,能耗/油耗,81,81,0.6419753086419753,0.06172839506172839,0.7037037037037037,凯迪拉克,SUV
IQ锐歌,intelligence,智能化,86,86,-0.4069767441860465,0.6976744186046512,0.29069767441860467,凯迪拉克,SUV
IQ锐歌,interior,内饰,63,63,0.6984126984126984,0.06349206349206349,0.7619047619047619,凯迪拉克,SUV
IQ锐歌,power,动力,46,46,0.782608695652174,0.0,0.782608695652174,凯迪拉克,SUV
IQ锐歌,space,空间,58,58,0.5689655172413793,0.10344827586206896,0.6724137931034483,凯迪拉克,SUV
IQ锐歌,value,性价比,37,37,0.2702702702702703,0.16216216216216217,0.43243243243243246,凯迪拉克,SUV
MG4,appearance,外观,92,76,0.8289473684210527,0.039473684210526314,0.868421052631579,MG名爵,轿车
MG4,comfort,舒适性,115,59,-0.1694915254237288,0.5254237288135594,0.3559322033898305,MG名爵,轿车
MG4,configuration,配置,105,60,0.7833333333333333,0.1,0.8833333333333333,MG名爵,轿车
MG4,control,操控,92,67,0.582089552238806,0.1791044776119403,0.7611940298507462,MG名爵,轿车
MG4,fuel_consumption,能耗/油耗,135,119,0.8067226890756303,0.058823529411764705,0.865546218487395,MG名爵,轿车
MG4,intelligence,智能化,96,92,-0.1956521739130435,0.5543478260869565,0.358695652173913,MG名爵,轿车
MG4,interior,内饰,111,73,0.0,0.4383561643835616,0.4383561643835616,MG名爵,轿车
MG4,power,动力,97,88,0.9886363636363636,0.0,0.9886363636363636,MG名爵,轿车
MG4,space,空间,138,130,0.9846153846153847,0.0,0.9846153846153847,MG名爵,轿车
MG4,value,性价比,131,112,0.8035714285714286,0.08035714285714286,0.8839285714285714,MG名爵,轿车
