series_id,series_name,brand,category,total_months,longest_run_months,interrupt_count,longest_gap_months,first_year,last_year
23,奥拓,铃木,轿车,54,54,0,0,2022,2026
24794,名爵HS新能源,MG名爵,SUV,54,54,0,0,2022,2026
24453,北京EU7,北京汽车,轿车,54,54,0,0,2022,2026
24504,锐际,福特,SUV,54,54,0,0,2022,2026
24513,小鹏P7,小鹏,轿车,54,54,0,0,2022,2026
24575,启辰e30,启辰,SUV,54,54,0,0,2022,2026
24603,揽境,大众,SUV,54,54,0,0,2022,2026
24604,探岳X,大众,SUV,54,54,0,0,2022,2026
24611,蔚来ET7,蔚来,轿车,54,54,0,0,2022,2026
24613,捷途X95,捷途,SUV,54,54,0,0,2022,2026
24636,星瑞,吉利汽车,轿车,54,54,0,0,2022,2026
24638,宋Pro新能源,比亚迪,SUV,54,54,0,0,2022,2026
24680,领动 插电混动,现代,轿车,54,54,0,0,2022,2026
24725,威马W6,威马汽车,SUV,54,54,0,0,2022,2026
24785,宝马X2,宝马,SUV,54,54,0,0,2022,2026
24824,Model 3,特斯拉,轿车,54,54,0,0,2022,2026
24417,奕炫,东风风神,轿车,54,54,0,0,2022,2026
24855,睿行ES30,长安凯程,轿车,54,54,0,0,2022,2026
24885,凯迪拉克CT5,凯迪拉克,轿车,54,54,0,0,2022,2026
24895,宝骏RC-6,宝骏,轿车,54,54,0,0,2022,2026
24905,奔驰GLB,奔驰,SUV,54,54,0,0,2022,2026
24955,科雷缤,雷诺,SUV,54,54,0,0,2022,2026
24965,雷丁i3,雷丁,轿车,54,54,0,0,2022,2026
24975,雷丁i9,雷丁,SUV,54,54,0,0,2022,2026
24995,雷丁i5,雷丁,轿车,54,54,0,0,2022,2026
25051,荣威RX5 eMAX,荣威,SUV,54,54,0,0,2022,2026
25100,冒险家新能源,林肯,SUV,54,54,0,0,2022,2026
25152,皓影,本田,SUV,54,54,0,0,2022,2026
25279,秦,比亚迪,轿车,54,54,0,0,2022,2026
25291,嘉悦A5,江淮,轿车,54,54,0,0,2022,2026
24443,长安欧尚科赛5,长安欧尚,SUV,54,54,0,0,2022,2026
24393,长安CS75 PLUS,长安,SUV,54,54,0,0,2022,2026
25479,锐程CC,长安,轿车,54,54,0,0,2022,2026
23867,AION S,埃安,轿车,54,54,0,0,2022,2026
23535,野马EC60,野马汽车,SUV,54,54,0,0,2022,2026
23573,瑞风S4,江淮,SUV,54,54,0,0,2022,2026
23593,大乘G70S,大乘汽车,SUV,54,54,0,0,2022,2026
23606,奔腾X40新能源,奔腾,SUV,54,54,0,0,2022,2026
23608,领途K-ONE,领途,SUV,54,54,0,0,2022,2026
23626,英致737EV,英致,MPV,54,54,0,0,2022,2026
23627,亚洲龙,丰田,轿车,54,54,0,0,2022,2026
23683,秦Pro新能源,比亚迪,轿车,54,54,0,0,2022,2026
23694,世锐PHEV,广汽集团,SUV,54,54,0,0,2022,2026
23753,观境,金杯,SUV,54,54,0,0,2022,2026
23803,富康ES500,东风富康,轿车,54,54,0,0,2022,2026
23823,尼欧Ⅱ,长安欧尚,轿车,54,54,0,0,2022,2026
23836,星越,吉利汽车,SUV,54,54,0,0,2022,2026
23869,享域,本田,轿车,54,54,0,0,2022,2026
24334,欧尚长行,长安凯程,MPV,54,54,0,0,2022,2026
23893,高尔夫·纯电,大众,轿车,54,54,0,0,2022,2026
23973,迈腾PHEV,大众,轿车,54,54,0,0,2022,2026
23984,比亚迪S2,比亚迪,SUV,54,54,0,0,2022,2026
23993,领途E骋,领途,轿车,54,54,0,0,2022,2026
24053,大通D60,大通,SUV,54,54,0,0,2022,2026
24136,SWM斯威X2,SWM斯威汽车,MPV,54,54,0,0,2022,2026
24143,比亚迪e1,比亚迪,轿车,54,54,0,0,2022,2026
24164,凯迪拉克XT6,凯迪拉克,SUV,54,54,0,0,2022,2026
24183,江淮iEVS4,江淮,SUV,54,54,0,0,2022,2026
24184,红旗HS5,红旗,SUV,54,54,0,0,2022,2026
24224,雷诺 e诺,雷诺,SUV,54,54,0,0,2022,2026
24233,纳智捷URX,纳智捷,SUV,54,54,0,0,2022,2026
24304,捷达VA3,捷达,轿车,54,54,0,0,2022,2026
25419,威然,大众,MPV,54,54,0,0,2022,2026
25490,威兰达,丰田,SUV,54,54,0,0,2022,2026
21303,伽途im,福田,MPV,54,54,0,0,2022,2026
27085,思皓X4,思皓,SUV,54,54,0,0,2022,2026
26704,长安欧尚科赛Pro,长安欧尚,SUV,54,54,0,0,2022,2026
26763,荣威i6 MAX新能源,荣威,轿车,54,54,0,0,2022,2026
26841,长安UNI-K,长安,SUV,54,54,0,0,2022,2026
26902,奥迪Q3 Sportback,奥迪,SUV,54,54,0,0,2022,2026
26993,ID.4 X,大众,SUV,54,54,0,0,2022,2026
27003,奥迪Q5L Sportback,奥迪,SUV,54,54,0,0,2022,2026
27011,影豹,广汽传祺,轿车,54,54,0,0,2022,2026
27023,凌尚,丰田,轿车,54,54,0,0,2022,2026
27035,比亚迪e9,比亚迪,轿车,54,54,0,0,2022,2026
27042,亚洲狮,丰田,轿车,54,54,0,0,2022,2026
27043,秦PLUS,比亚迪,轿车,54,54,0,0,2022,2026
27044,MG领航新能源,MG名爵,SUV,54,54,0,0,2022,2026
27084,思皓X7,思皓,SUV,54,54,0,0,2022,2026
27132,星越L,吉利汽车,SUV,54,54,0,0,2022,2026
26651,Model Y,特斯拉,SUV,54,54,0,0,2022,2026
27171,红旗E-QM5,红旗,轿车,54,54,0,0,2022,2026
27191,智己L7,智己汽车,轿车,54,54,0,0,2022,2026
27201,摩卡,魏牌,SUV,54,54,0,0,2022,2026
27362,ID.6 CROZZ,大众,SUV,54,54,0,0,2022,2026
27393,皇冠陆放,丰田,SUV,54,54,0,0,2022,2026
27404,MG Cyberster,MG名爵,轿车,54,54,0,0,2022,2026
27421,极氪001,极氪,轿车,54,54,0,0,2022,2026
27422,小虎FEV,小虎,轿车,54,54,0,0,2022,2026
27431,大家9,大通,MPV,54,54,0,0,2022,2026
27432,皓影新能源,本田,SUV,54,54,0,0,2022,2026
27442,小鹏P5,小鹏,轿车,54,54,0,0,2022,2026
27451,库斯途,现代,MPV,54,54,0,0,2022,2026
27461,凡尔赛C5 X,雪铁龙,轿车,54,54,0,0,2022,2026
26691,凯翼E5 EV,凯翼,轿车,54,54,0,0,2022,2026
26592,e爱丽舍,东风富康,轿车,54,54,0,0,2022,2026
25542,斯派卡新能源,野马汽车,MPV,54,54,0,0,2022,2026
25903,长安UNI-T,长安,SUV,54,54,0,0,2022,2026
25599,大众ID.3,大众,轿车,54,54,0,0,2022,2026
25600,ID.4 CROZZ,大众,SUV,54,54,0,0,2022,2026
25604,长安CS55PLUS,长安,SUV,54,54,0,0,2022,2026
25611,汉,比亚迪,轿车,54,54,0,0,2022,2026
25651,红旗E-HS9,红旗,SUV,54,54,0,0,2022,2026
25653,零跑T03,零跑汽车,轿车,54,54,0,0,2022,2026
25691,宝骏RS-7,宝骏,SUV,54,54,0,0,2022,2026
25732,江淮iC5,江淮,轿车,54,54,0,0,2022,2026
25784,五菱730,五菱,MPV,54,54,0,0,2022,2026
25801,奥迪A7L,奥迪,轿车,54,54,0,0,2022,2026
25833,宝骏E300,宝骏,轿车,54,54,0,0,2022,2026
25866,红旗H9,红旗,轿车,54,54,0,0,2022,2026
25901,探险者,福特,SUV,54,54,0,0,2022,2026
26012,海马6P,海马,SUV,54,54,0,0,2022,2026
26572,欧拉好猫,欧拉,轿车,54,54,0,0,2022,2026
26061,奔奔E-Star,长安欧尚,轿车,54,54,0,0,2022,2026
26101,逸动,长安,轿车,54,54,0,0,2022,2026
26201,枫叶30x,睿蓝汽车,SUV,54,54,0,0,2022,2026
26211,宏光MINIEV,五菱,轿车,54,54,0,0,2022,2026
26212,嘉悦X7,江淮,SUV,54,54,0,0,2022,2026
26241,嘉悦X4,江淮,SUV,54,54,0,0,2022,2026
26263,凌宝BOX,凌宝汽车,轿车,54,54,0,0,2022,2026
26363,瑞驰新能源S513,瑞驰新能源,SUV,54,54,0,0,2022,2026
26402,锐际新能源,福特,SUV,54,54,0,0,2022,2026
26403,宝马iX3,宝马,SUV,54,54,0,0,2022,2026
26406,宋PLUS新能源,比亚迪,SUV,54,54,0,0,2022,2026
26445,荣威iMAX8,荣威,MPV,54,54,0,0,2022,2026
26504,荣威i6 MAX,荣威,轿车,54,54,0,0,2022,2026
23534,宝骏RS-5,宝骏,SUV,54,54,0,0,2022,2026
23463,帕萨特新能源,大众,轿车,54,54,0,0,2022,2026
23433,秦Pro,比亚迪,轿车,54,54,0,0,2022,2026
22091,远景S1,吉利汽车,SUV,54,54,0,0,2022,2026
21924,众泰Z300,众泰,轿车,54,54,0,0,2022,2026
21925,众泰Z500,众泰,轿车,54,54,0,0,2022,2026
21933,欧力威EV,长安欧尚,轿车,54,54,0,0,2022,2026
21943,骏派A70E,一汽,轿车,54,54,0,0,2022,2026
21955,华泰EV160R,华泰新能源,轿车,54,54,0,0,2022,2026
21964,起亚KX CROSS,起亚,轿车,54,54,0,0,2022,2026
