variant,R2_log_mean,R2_log_std,WMAPE_mean,n_features
YEAR-ONLY,0.08884801844086507,0.016224608135443006,87.67061559280542,5
+BRAND,0.15427107230488699,0.05371556039997234,83.77115791544999,131
+CONFIG,0.3030299092503814,0.08170099567679646,75.38459168660214,310
CONFIG-ONLY,0.1732734604023463,0.042734891761985416,81.26625500706953,179
