pcauto_series_id,annual_sales,pcauto_brand,brand_id,brand_name,series_id,series_name,car_id,car_name,year,energy_type,manufacturer,vehicle_class,official_price_wan,official_price_str,owner_price,dealer_price,engine_displacement_ml,engine_displacement_l,engine_intake_type,engine_cylinder_arrangement,engine_cylinder_nums,engine_unique_tech,engine_max_horsepower_ps,engine_max_power_kw,engine_max_power_rpm,engine_max_torque_nm,engine_max_torque_rpm,fuel_form,fuel_grade,oil_supply,cylinder_material,environmental_standard,gearbox_short,gear_count,gearbox_type,max_speed_kmh,acceleration_0_100_s,fuel_consumption_l_100km,warranty_period,motor_type,motor_total_power_kw,motor_total_torque_nm,motor_front_power_kw,motor_front_torque_nm,motor_rear_power_kw,motor_rear_torque_nm,motor_system_power_kw,motor_system_torque_nm,battery_type,battery_capacity_kwh,battery_range_km,electricity_consumption_kwh_100km,battery_warranty,charging_time_h,fast_charge_percent,length_mm,width_mm,height_mm,wheelbase_mm,front_track_mm,rear_track_mm,min_ground_clearance_mm,curb_weight_kg,body_structure,door_count,seat_count,trunk_volume_l,door_open_way,driver_airbag,side_airbag,side_air_curtain,knee_airbag,steering_wheel_material,steering_wheel_adjustment,center_screen,multimedia_interface,sound_brand,speaker_count,seat_material,seat_heating,aircon_control,speaker_count_original,original_energy_type
25695,9292.0,华境,10445.0,华境,25695,华境S,257607,200km乾崑悦享版,2026,插电混动,上汽通用五菱,大型SUV,15.98,15.98万,暂无报价,14.98万,1498.0,1.5,涡轮增压,L,4.0,,143.0,105.0,5500.0,220.0,2500,插电式混合动力,92#,缸内直喷,未知,国VI,1挡DHT,1.0,,190.0,8.3,,6年或15万公里,永磁/同步,200.0,310.0,200.0,310.0,,,,,,,130.0,,,,,5235,1999,1800,3105,1725.0,1728.0,,2385.0,SUV,5.0,6.0,423.0,平开门,主 / 副,前 / 后,,主 / 副,,上下+前后,,USB/Type-C+SD卡槽,,12以上,仿皮,前 / 后,自动,12以上,插电混动
25741,26.0,北京汽车制造厂,78.0,北京汽车制造厂,25741,北汽L6H,252733,基本型,2026,纯电动,北京汽车制造厂,小型车,8.58,暂无报价,暂无报价,暂无报价,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4025,1770,1560,2615,,,,,两厢车,,5.0,,,主 / 副,前 / 后,,主 / 副,,,,,,,,前 / 后,：,,纯电动
3022,3256.0,长安凯程,171.0,长安凯程,3022,长安之星9 EV,55228,纯电动厢式运输车2座55kW,2021,纯电动,长安轻型车,微面,13.28,13.28万,暂无报价,13.28万,,,,,,,,,,,,纯电动,,,,,电动车单速变速箱,1.0,固定齿比变速箱,,,,3年或6万公里,永磁/同步,55.0,220.0,,,55.0,220.0,,,,,245.0,,,,,4430,1655,1950,2800,1435.0,1435.0,,1370.0,货车,5.0,2.0,,侧滑门,主 / 副,前 / 后,,主 / 副,,,,,,,织物,前 / 后,手动,,纯电动
3022,2870.0,长安凯程,171.0,长安凯程,3022,长安之星9 EV,60087,纯电动客车7座60kW,2022,纯电动,长安轻型车,微面,13.68,13.68万,暂无报价,13.68万,,,,,,,,,,,,纯电动,,,,,电动车单速变速箱,1.0,固定齿比变速箱,,,,3年或6万公里,永磁/同步,60.0,220.0,,,60.0,220.0,,,,,260.0,,,,,4430,1655,1950,2800,1435.0,1435.0,,1470.0,客车,5.0,7.0,,侧滑门,主 / 副,前 / 后,,主 / 副,,,,,,,织物,前 / 后,手动,,纯电动
3022,892.0,长安凯程,171.0,长安凯程,3022,长安之星9 EV,88403,财富版 纯电动厢式运输车2座55kW,2023,纯电动,长安轻型车,微面,16.89,16.89万,暂无报价,16.89万,,,,,,,,,,,,纯电动,,,,,电动车单速变速箱,1.0,固定齿比变速箱,,,,3年或6万公里,永磁/同步,55.0,220.0,,,55.0,220.0,,,,,245.0,,,,,4430,1655,1950,2800,1435.0,1435.0,,1370.0,货车,5.0,2.0,,侧滑门,主 / 副,前 / 后,,主 / 副,,,,USB/Type-C,,46056,织物,前 / 后,手动,46056,纯电动
3022,1047.0,长安凯程,171.0,长安凯程,3022,长安之星9 EV,99374,舒适版 纯电动微型客车 7座35.9KWh,2024,纯电动,长安轻型车,微面,13.28,13.28万,暂无报价,13.28万,,,,,,,,,,,,纯电动,,,,,电动车单速变速箱,1.0,固定齿比变速箱,,,,3年或6万公里,永磁/同步,55.0,220.0,,,55.0,220.0,,,,,220.0,,,,,4430,1655,1950,2800,1435.0,1435.0,,1460.0,客车,5.0,7.0,,侧滑门,主 / 副,前 / 后,,主 / 副,,,,USB/Type-C,,46056,织物,前 / 后,手动,46056,纯电动
3192,112990.0,五菱汽车,39.0,五菱汽车,3192,五菱宏光V,75790,1.2L劲取版 液压助力,2022,燃油,上汽通用五菱,微面,4.48,4.48万,暂无报价,4.48万,1206.0,1.2,自然吸气,L,4.0,,76.0,56.0,5600.0,110.0,3000,汽油,92#,多点电喷,未知,国VI b,5挡手动,5.0,手动变速箱(MT),120.0,,,待查,,,,,,,,,,,,,,,,,4425,1670,1860,2850,1420.0,1440.0,,1185.0,客车,5.0,5.0,,侧滑门,主 / 副,前 / 后,,主 / 副,,,,USB/Type-C,,46056,织物,前 / 后,：,46056,燃油
4320,4381.0,五菱汽车,39.0,五菱汽车,4320,五菱荣光EV,256418,310km 客车版标准型,2026,插电混动,上汽通用五菱,微面,6.98,6.98万,6.87万,6.48万,,,,,,,,,,,,纯电动,,,,,电动车单速变速箱,1.0,固定齿比变速箱,135.0,,,,永磁/同步,100.0,200.0,,,100.0,200.0,,,,,310.0,,,,,4535,1732,1870,2850,,,,1305.0,微面,5.0,5.0,,侧滑门,主 / 副,前 / 后,,主 / 副,,,,USB/Type-C,,46056,织物,前 / 后,手动,46056,插电混动
5356,138.0,Polestar极星,196.0,Polestar极星,5356,Polestar 3,79059,双电机长续航,2024,纯电动,Polestar,中大型SUV,69.8,69.80万,暂无报价,69.80万,,,,,,,,,,,,纯电动,,,,,电动车单速变速箱,1.0,固定齿比变速箱,210.0,5.0,,3年不限公里,永磁/同步,360.0,840.0,,,,,,,,,670.0,,80,,,4900,1968,1627,2985,1673.0,1655.0,211.0,2584.0,SUV,5.0,5.0,484.0,平开门,主 / 副,前 / 后,,主 / 副,,上下+前后,大屏,USB/Type-C,宝华韦健,12以上,仿皮,前 / 后,自动,12以上,纯电动
558,1730.0,新龙马汽车,123.0,新龙马汽车,558,新龙马汽车启腾M70,52664,1.5L M70L 厢货型基本版,2022,燃油,新龙马汽车,微面,4.68,4.68万,暂无报价,4.68万,,1.5,自然吸气,L,4.0,,122.0,90.0,,,,汽油,92#,多点电喷,未知,国VI,5挡手动,5.0,手动变速箱(MT),100.0,,,待查,,,,,,,,,,,,,,,,,4421,1677,1902,3050,,,,1190.0,货车,5.0,2.0,,侧滑门,主 / 副,前 / 后,,主 / 副,,,,,,,织物,前 / 后,：,,燃油
5855,20264.0,开瑞,139.0,开瑞,5855,江豚,81292,宽体版 中航锂电38.64kWh,2023,纯电动,开瑞汽车,微面,15.48,15.48万,暂无报价,15.48万,,,,,,,,,,,,纯电动,,,,,电动车单速变速箱,1.0,固定齿比变速箱,80.0,,,待查,永磁/同步,60.0,220.0,,,60.0,220.0,,,,,260.0,,80,,,4746,1760,1965,3050,,,173.0,1485.0,货车,4.0,2.0,,侧滑门,主 / 副,前 / 后,,主 / 副,,,,USB/Type-C,,,织物,前 / 后,手动,,纯电动
